								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Anglais
	1000	segments	0	0	0	0		
	1001	consonants	0	0	0	0		
	1002	vowels	0	0	0	0		
	1003	vowel qualities	0	0	0	0		
	1004	ratio C/V	0	0	0	0		
	1005	ratio C/VQ	0	0	0	0		
	1006	nombre traits total	0	0	0	0		
	1007	diphtongs	0	0	0	0		
	2000	peripheric vowels	0	0	0	0		
	2001	ratio PV / VT	0	0	0	0		
	2002	number of apertures	0	0	0	0		
	2100	front	0	0	0	0		
	2101	front rounded vowels	0	0	0	0		
	2102	front unrounded vowels	0	0	0	0		
	2103	ratio FV / V Tot.	0	0	0	0		
	2104	ratio FRV / FV	0	0	0	0		
	2105	ratio FUV / FV	0	0	0	0		
	2106	front high	0	0	0	0		
	2107	front lowered-high	0	0	0	0		
	2108	front higher-mid	0	0	0	0		
	2109	front mid	0	0	0	0		
	2110	front lower-mid	0	0	0	0		
	2111	front raised-low	0	0	0	0		
	2112	front low	0	0	0	0		
	2200	central	0	0	0	0		
	2201	central rounded vowels	0	0	0	0		
	2202	central unrounded vowels	0	0	0	0		
	2203	ratio CV / V Tot.	0	0	0	0		
	2204	ratio CRV / CV	0	0	0	0		
	2205	ratio CUV / CV	0	0	0	0		
	2206	central high	0	0	0	0		
	2207	central lowered-high	0	0	0	0		
	2208	central higher-mid	0	0	0	0		
	2209	central mid	0	0	0	0		
	2210	central lower-mid	0	0	0	0		
	2211	central raised-low	0	0	0	0		
	2212	central low	0	0	0	0		
	2300	back	0	0	0	0		
	2301	back rounded vowels	0	0	0	0		
	2302	back unrounded vowels	0	0	0	0		
	2303	ratio BV / V Tot.	0	0	0	0		
	2304	ratio BRV / BV	0	0	0	0		
	2305	ratio BUV / BV	0	0	0	0		
	2306	back high	0	0	0	0		
	2307	back lowered-high	0	0	0	0		
	2308	back higher-mid	0	0	0	0		
	2309	back mid	0	0	0	0		
	2310	back lower-mid	0	0	0	0		
	2311	back raised-low	0	0	0	0		
	2312	back low	0	0	0	0		
	2500	number of contrasts	0	0	0	0		
	2501	ad-tg-root	0	0	0	0		
	2502	breathy-voiced	0	0	0	0		
	2503	creaky-voiced	0	0	0	0		
	2504	long	0	0	0	0		
	2505	nasalized	0	0	0	0		
	2506	overshort	0	0	0	0		
	2507	retroflexed	0	0	0	0		
	2508	velarized	0	0	0	0		
	2509	voiceless	0	0	0	0		
	2510	pharyngealized	0	0	0	0		
	3000	number of ≠ modes	0	0	0	0		
	3001	number of ≠ places	0	0	0	0		
	3100	stop	0	0	0	0		
	3101	stop bilabial	0	0	0	0		
	3102	stop labiodental	0	0	0	0		
	3103	stop labial-palatal	0	0	0	0		
	3104	stop labial-velar	0	0	0	0		
	3105	stop dental	0	0	0	0		
	3106	stop alveolar	0	0	0	0		
	3107	stop postalveolar	0	0	0	0		
	3108	stop retroflex	0	0	0	0		
	3109	stop palatal	0	0	0	0		
	3110	stop velar	0	0	0	0		
	3111	stop velar-alveolar	0	0	0	0		
	3112	stop uvular	0	0	0	0		
	3113	stop pharyngeal	0	0	0	0		
	3114	stop epiglottal	0	0	0	0		
	3115	stop glottal	0	0	0	0		
	3116	stop laryngeal	0	0	0	0		
	3150	stop aspirated	0	0	0	0		
	3151	stop breathy-voiced	0	0	0	0		
	3152	stop creaky-voiced	0	0	0	0		
	3153	stop ejective	0	0	0	0		
	3154	stop glottalized	0	0	0	0		
	3155	stop labialized	0	0	0	0		
	3156	stop lateral-release	0	0	0	0		
	3157	stop long	0	0	0	0		
	3158	stop nasal-release	0	0	0	0		
	3159	stop palatalized	0	0	0	0		
	3160	stop pharyngealized	0	0	0	0		
	3161	stop preaspirated	0	0	0	0		
	3162	stop preglottalized	0	0	0	0		
	3163	stop prenasalized	0	0	0	0		
	3164	stop prestopped	0	0	0	0		
	3165	stop sibilant	0	0	0	0		
	3166	stop velar-fricated	0	0	0	0		
	3167	stop velarized	0	0	0	0		
	3168	stop voiced	0	0	0	0		
	3169	stop voiceless	0	0	0	0		
	3170	stop with-breathy-release	0	0	0	0		
	3200	implosive	0	0	0	0		
	3201	implosive bilabial	0	0	0	0		
	3202	implosive labiodental	0	0	0	0		
	3203	implosive labial-palatal	0	0	0	0		
	3204	implosive labial-velar	0	0	0	0		
	3205	implosive dental	0	0	0	0		
	3206	implosive alveolar	0	0	0	0		
	3207	implosive postalveolar	0	0	0	0		
	3208	implosive retroflex	0	0	0	0		
	3209	implosive palatal	0	0	0	0		
	3210	implosive velar	0	0	0	0		
	3211	implosive velar-alveolar	0	0	0	0		
	3212	implosive uvular	0	0	0	0		
	3213	implosive pharyngeal	0	0	0	0		
	3214	implosive epiglottal	0	0	0	0		
	3215	implosive glottal	0	0	0	0		
	3216	implosive laryngeal	0	0	0	0		
	3250	implosive aspirated	0	0	0	0		
	3251	implosive breathy-voiced	0	0	0	0		
	3252	implosive creaky-voiced	0	0	0	0		
	3253	implosive ejective	0	0	0	0		
	3254	implosive glottalized	0	0	0	0		
	3255	implosive labialized	0	0	0	0		
	3256	implosive lateral-release	0	0	0	0		
	3257	implosive long	0	0	0	0		
	3258	implosive nasal-release	0	0	0	0		
	3259	implosive palatalized	0	0	0	0		
	3260	implosive pharyngealized	0	0	0	0		
	3261	implosive preaspirated	0	0	0	0		
	3262	implosive preglottalized	0	0	0	0		
	3263	implosive prenasalized	0	0	0	0		
	3264	implosive prestopped	0	0	0	0		
	3265	implosive sibilant	0	0	0	0		
	3266	implosive velar-fricated	0	0	0	0		
	3267	implosive velarized	0	0	0	0		
	3268	implosive voiced	0	0	0	0		
	3269	implosive voiceless	0	0	0	0		
	3270	implosive with-breathy-release	0	0	0	0		
	3300	nasal	0	0	0	0		
	3301	nasal bilabial	0	0	0	0		
	3302	nasal labiodental	0	0	0	0		
	3303	nasal labial-palatal	0	0	0	0		
	3304	nasal labial-velar	0	0	0	0		
	3305	nasal dental	0	0	0	0		
	3306	nasal alveolar	0	0	0	0		
	3307	nasal postalveolar	0	0	0	0		
	3308	nasal retroflex	0	0	0	0		
	3309	nasal palatal	0	0	0	0		
	3310	nasal velar	0	0	0	0		
	3311	nasal velar-alveolar	0	0	0	0		
	3312	nasal uvular	0	0	0	0		
	3313	nasal pharyngeal	0	0	0	0		
	3314	nasal epiglottal	0	0	0	0		
	3315	nasal glottal	0	0	0	0		
