																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	1	487	hi	i°	i°	voiceless high front unrounded peripheral vowel	vl high front unrnd perif vowel		2	0		3	FALSE	FALSE	006900B0									vl	high		front	unrnd	perif	vowel
	2	534	i	i	i	high front unrounded peripheral vowel	high front unrnd perif vowel		1	0		393	FALSE	FALSE	0069										high		front	unrnd	perif	vowel
	3	535	i*	i·	i·	creaky-voiced high front unrounded peripheral vowel	creaky high front unrnd perif vowel		2	0		4	FALSE	FALSE	00690387							creaky			high		front	unrnd	perif	vowel
	4	536	i-	iĝ	iĝ	high front unrounded peripheral vowel velarized	high front unrnd perif vowel velzd		2	0		1	FALSE	FALSE	0069011D				velzd						high		front	unrnd	perif	vowel
	5	537	i9	iſ	iſ	pharyngealized high front unrounded peripheral vowel	pharzd high front unrnd perif vowel		2	0		2	FALSE	FALSE	0069017F				pharzd						high		front	unrnd	perif	vowel
	6	538	i9:	iſ►	iſ►	long pharyngealized high front unrounded peripheral vowel	long pharzd high front unrnd perif vowel		2	0		1	FALSE	FALSE	0069017F25BA				pharzd	long					high		front	unrnd	perif	vowel
	7	539	i:	i►	i►	long high front unrounded peripheral vowel	long high front unrnd perif vowel		2	0		40	FALSE	FALSE	006925BA					long					high		front	unrnd	perif	vowel
	8	544	iF	i»	i»	raised high front unrounded peripheral vowel	raisd high front unrnd perif vowel		2	0		1	FALSE	FALSE	006900BB						raisd				high		front	unrnd	perif	vowel
	9	545	iS	i˘	i˘	overshort high front unrounded peripheral vowel	ovrshort high front unrnd perif vowel		2	0		2	FALSE	FALSE	006902D8					ovrshort					high		front	unrnd	perif	vowel
	10	562	ih	i΄	i΄	breathy-voiced high front unrounded peripheral vowel	breathy high front unrnd perif vowel		2	0		5	FALSE	FALSE	00690384							breathy			high		front	unrnd	perif	vowel
	11	566	i~	i†	i†	nasalized high front unrounded peripheral vowel	naszd high front unrnd perif vowel		2	0		82	FALSE	FALSE	00692020			naszd							high		front	unrnd	perif	vowel
	12	567	i~*	i†·	i†·	creaky-voiced nasalized high front unrounded peripheral vowel	creaky naszd high front unrnd perif vowel		2	0		1	FALSE	FALSE	006920200387			naszd				creaky			high		front	unrnd	perif	vowel
	13	568	i~-	i†ĝ	i†ĝ	nasalized high front unrounded peripheral vowel velarized	naszd high front unrnd perif vowel velzd		2	0		9	FALSE	FALSE	00692020011D			naszd	velzd						high		front	unrnd	perif	vowel
	14	569	i~:	i†►	i†►	long nasalized high front unrounded peripheral vowel	long naszd high front unrnd perif vowel		2	0		0	FALSE	FALSE	0069202025BA			naszd		long					high		front	unrnd	perif	vowel
	15	971		i¾†	i¾†	nasalized ad-tg-root high front unrounded peripheral vowel	naszd atroot high front unrnd perif vowel		2	0			FALSE	FALSE	006900BE2020			naszd						atroot	high		front	unrnd	perif	vowel
	16	972		i¾	i¾	ad-tg-root high front unrounded peripheral vowel	atroot high front unrnd perif vowel		2	0			FALSE	FALSE	006900BE									atroot	high		front	unrnd	perif	vowel
	17	905	y	y	y	high front rounded vowel	high front rounded vowel		1	1		24	FALSE	FALSE	0079										high		front	rounded		vowel
	18	906	y:	y►	y►	long high front rounded vowel	long high front rounded vowel		2	1		4	FALSE	FALSE	007925BA					long					high		front	rounded		vowel
	19	908	y~	y†	y†	nasalized high front rounded vowel	naszd high front rounded vowel		2	1		1	FALSE	FALSE	00792020			naszd							high		front	rounded		vowel
	20	999		y˘	y˘	overshort high front rounded vowel	ovrshort high front rounded vowel		2	1			FALSE	FALSE	007902D8					ovrshort					high		front	rounded		vowel
	21	547	i_	ï	ï	high central unrounded vowel	high central unrnd vowel		1	2		61	FALSE	FALSE	00EF										high		central	unrnd		vowel
	22	548	i_.	ï²	ï²	retroflexed high central unrounded vowel	retrfld high central unrnd vowel		2	2		1	FALSE	FALSE	00EF00B2				retrfld						high		central	unrnd		vowel
	23	549	i_:	ï►	ï►	long high central unrounded vowel	long high central unrnd vowel		2	2		3	FALSE	FALSE	00EF25BA					long					high		central	unrnd		vowel
	24	551	i_S	ï˘	ï˘	overshort high central unrounded vowel	ovrshort high central unrnd vowel		2	2		2	FALSE	FALSE	00EF02D8					ovrshort					high		central	unrnd		vowel
	25	555	i_~	ï†	ï†	nasalized high central unrounded vowel	naszd high central unrnd vowel		2	2		11	FALSE	FALSE	00EF2020			naszd							high		central	unrnd		vowel
	26	556	i_~:	ï†►	ï†►	long nasalized high central unrounded vowel	long naszd high central unrnd vowel		2	2		1	FALSE	FALSE	00EF202025BA			naszd		long					high		central	unrnd		vowel
	27	963		ï°	ï°	voiceless high central unrounded vowel	vl high central unrnd vowel		2	2			FALSE	FALSE	00EF00B0									vl	high		central	unrnd		vowel
