Nom	Famille	Code	NbSegment	Selecte	Selecte1	CodeBase
AFRO-ASIATIC	Afro-Asiatic	1061	50	0	0	20
ALGONQUIAN	"North-American, Almosan"	1097	20	0	0	20
ALTAIC	"Ural-Altaic, Altaic"	1053	36	0	0	20
ANATOLIAN	"Indo-European, Anatolian"	1018	33	0	0	20
ARAWAKAN	"South-American, Macro-Arawakan"	1116	34	0	0	20
ATHAPASKAN	"Na-Dene, Athabaskan"	1110	43	0	0	20
ATTIC	"Indo-European, Greek"	1104	24	0	0	20
AUSTRALIAN	Australian	1059	20	0	0	20
AUSTRONESIAN	"Austro-Tai, Austronesian"	1041	28	0	0	20
BANTU	"Niger-Kordofanian, Bantoid"	1094	18	0	0	20
"CENTRAL GUR"	"Niger-Kordofanian, Voltaic"	1038	34	0	0	20
CENTRAL-KHOISAN	"Khoisan, Central-Khoisan"	1056	39	0	0	20
CHADIC	"Afro-Asiatic, Chadic"	1083	33	0	0	20
"CHIAPANEC MANGUEAN"	"North-American, Oto-Manguean"	1072	23	0	0	20
CHIBCHA	"South-American, Chibchan"	1111	26	0	0	20
CHIMAKUAN	"North-American, Almosan"	1099	39	0	0	20
CHINANTECAN	"North-American, Oto-Manguean"	1077	28	0	0	20
CHUKOTKO-KAMCHATKAN	Chukchi-Kamchatkan	1113	25	0	0	20
"COMMON BERBER"	"Afro-Asiatic, Berber"	1081	20	0	0	22
"COMMON NORDIC"	"Indo-European, Germanic, North"	1045	42	0	0	20
COPTIC	"Afro-Asiatic, Ancient-Egyptian"	1106	27	0	0	20
CUSHITIC	"Afro-Asiatic, Cushitic"	1062	50	0	0	20
DRAVIDIAN	Dravidian	1012	26	0	0	20
"EARLY PROTO FINNIC"	"Ural-Altaic, Finno-Ugric"	1065	29	0	0	20
"EAST TARIKU"	"Papuan, Geelvink-Bay"	1031	12	0	0	20
EDOID	"Niger-Kordofanian, Kwa"	1060	42	0	0	20
ESKIMO	"Eskimo-Aleut, Eskimo"	1007	19	0	0	20
ESKIMO-ALEUT	Eskimo-Aleut	1112	22	0	0	20
FINNO-PERMIC	"Ural-Altaic, Finno-Ugric"	1090	32	0	0	20
FINNO-UGRIC	"Ural-Altaic, Finno-Ugric"	1068	33	0	0	20
GBAYA	"Niger-Kordofanian, Ubangi"	1093	42	0	0	20
GERMANIC	"Indo-European, Germanic"	1046	9	0	0	21
GOROKAN	"Papuan, Trans-New-Guinea"	1095	13	0	0	20
GUAHIBAN	"South-American, Macro-Arawakan"	1118	22	0	0	20
GUANG	"Niger-Kordofanian, Voltaic"	1103	31	0	0	20
"HUON GULF"	"Austro-Tai, Austronesian, East-Malayo-Polynesian"	1026	21	0	0	22
IJO	"Niger-Kordofanian, Kwa"	1015	30	0	0	20
INDO-EUROPEAN	Indo-European	1051	38	0	0	20
KARTVELIAN	Caucasian	1052	46	0	0	20
KATUIC	"Austro-Asiatic, Katuic"	1058	36	0	0	22
KERESAN	"North-American, Keresiouan"	1109	49	0	0	20
KIMBE	"Austro-Tai, Austronesian, East-Malayo-Polynesian"	1039	19	0	0	20
"LAKES PLAIN"	"Papuan, Geelvink-Bay"	1028	12	0	0	20
LAPP	"Ural-Altaic, Finno-Ugric"	1066	9	0	0	21
LOLO-BURMESE	"Sino-Tibetan, Lolo-Burmese"	1082	37	0	0	20
"LOWER CROSS"	"Niger-Kordofanian, Cross-River"	1014	14	0	0	22
"LOWER SEPIK"	"Papuan, Sepik-Ramu"	1063	27	0	0	20
MAIDUN	"North-American, Penutian"	1108	29	0	0	20
"MALAYO POLYNESIAN"	"Austro-Tai, Austronesian"	1004	30	0	0	20
MANDE	"Niger-Kordofanian, Mande"	1037	16	0	0	22
MANDEKAN	"Niger-Kordofanian, Mande"	1025	23	0	0	20
MARKHAM	"Austro-Tai, Austronesian, East-Malayo-Polynesian"	1027	23	0	0	20
MAYAN	"North-American, Penutian"	1057	32	0	0	20
MICRONESIAN	"Austro-Tai, Austronesian, East-Malayo-Polynesian"	1107	21	0	0	20
"MIDDLE ENGLISH"	"Indo-European, Germanic, West"	1049	6	0	0	21
MIXTECAN	"North-American, Oto-Manguean"	1070	20	0	0	20
MON	"Austro-Asiatic, Mon"	1020	35	0	0	20
"NEW CALEDONIAN"	"Austro-Tai, Austronesian, East-Malayo-Polynesian"	1021	29	0	0	22
NOSTRATIC	"Macro-Family, Nostratic"	1055	48	0	0	20
"OB UGRIC"	"Ural-Altaic, Finno-Ugric"	1089	40	0	0	20
"OLD CHINESE"	"Sino-Tibetan, Sinitic"	1006	35	0	0	20
