					
	CodeFamille	Famille	CodeGFamille	Selecte	Selecte1
	1	Afro-Asiatic	1	TRUE	FALSE
	2	Afro-Asiatic, Ancient-Egyptian	1	TRUE	FALSE
	3	Afro-Asiatic, Berber	1	TRUE	FALSE
	4	Afro-Asiatic, Chadic	1	TRUE	FALSE
	5	Afro-Asiatic, Cushitic	1	TRUE	FALSE
	6	Afro-Asiatic, Omotic	1	TRUE	FALSE
	7	Afro-Asiatic, Semitic	1	TRUE	FALSE
	8	Australian	2	FALSE	FALSE
	9	Australian, Burarran	2	FALSE	FALSE
	10	Australian, Daly	2	FALSE	FALSE
	11	Australian, Garawan	2	FALSE	FALSE
	12	Australian, Maran	2	FALSE	FALSE
	13	Australian, Nyulnyulan	2	FALSE	FALSE
	14	Australian, Pama-Nyungan	2	FALSE	FALSE
	15	Australian, Ungrouped	2	FALSE	FALSE
	16	Australian, Wororan	2	FALSE	FALSE
	17	Australian, Yiwaidjan	2	FALSE	FALSE
	18	Austro-Asiatic	3	FALSE	FALSE
	19	Austro-Asiatic, Bahnaric	3	FALSE	FALSE
	20	Austro-Asiatic, Katuic	3	FALSE	FALSE
	21	Austro-Asiatic, Khasi	3	FALSE	FALSE
	22	Austro-Asiatic, Khmer	3	FALSE	FALSE
	23	Austro-Asiatic, Mon	3	FALSE	FALSE
	24	Austro-Asiatic, Munda	3	FALSE	FALSE
	25	Austro-Asiatic, Nicobarese	3	FALSE	FALSE
	26	Austro-Asiatic, Palaungic	3	FALSE	FALSE
	27	Austro-Asiatic, Vietmuong	3	FALSE	FALSE
	28	Austro-Tai	4	FALSE	FALSE
	29	Austro-Tai, Atayalic	4	FALSE	FALSE
	30	Austro-Tai, Austronesian	4	FALSE	FALSE
	31	Austro-Tai, Austronesian, Central-Malayo-Polynesian	4	FALSE	FALSE
	32	Austro-Tai, Austronesian, East-Malayo-Polynesian	4	FALSE	FALSE
	33	Austro-Tai, Austronesian, East-Malayo-Polynesian, Oceanic, Polynesian	4	FALSE	FALSE
	34	Austro-Tai, Austronesian, West-Malayo-Polynesian	4	FALSE	FALSE
	35	Austro-Tai, Lati-Gelao	4	FALSE	FALSE
	36	Austro-Tai, Li-Kam-Tai	4	FALSE	FALSE
	37	Austro-Tai, Paiwanic	4	FALSE	FALSE
	38	Austro-Tai, Tsouic	4	FALSE	FALSE
	39	Caucasian	5	FALSE	FALSE
	40	Caucasian, Caucasian	5	FALSE	FALSE
	41	Caucasian, Northwest	5	FALSE	FALSE
	42	Chukchi-Kamchatkan	6	FALSE	FALSE
	43	Dravidian	7	FALSE	FALSE
	44	Dravidian, Brahui	7	FALSE	FALSE
	45	Dravidian, Dravidian	7	FALSE	FALSE
	46	Dravidian, South-Dravidian	7	FALSE	FALSE
	47	Eskimo-Aleut	8	FALSE	FALSE
	48	Eskimo-Aleut, Aleut	8	FALSE	FALSE
	49	Eskimo-Aleut, Eskimo	8	FALSE	FALSE
	50	Indo-European	9	FALSE	FALSE
	51	Indo-European, Albanian	9	FALSE	FALSE
	52	Indo-European, Anatolian	9	FALSE	FALSE
	53	Indo-European, Armenian	9	FALSE	FALSE
	54	Indo-European, Baltic	9	FALSE	FALSE
	55	Indo-European, Celtic, Brythonic	9	FALSE	FALSE
	56	Indo-European, Celtic, Goidelic	9	FALSE	FALSE
	57	Indo-European, Germanic	9	FALSE	FALSE
	58	Indo-European, Germanic, North	9	FALSE	FALSE
	59	Indo-European, Germanic, West	9	FALSE	FALSE
	60	Indo-European, Greek	9	FALSE	FALSE
	61	Indo-European, Indic	9	FALSE	FALSE
	62	Indo-European, Iranian	9	FALSE	FALSE
	63	Indo-European, Romance	9	FALSE	FALSE
	64	Indo-European, Slavic	9	FALSE	FALSE
	65	Isolates	10	FALSE	FALSE
	66	Isolates, Basque	10	FALSE	FALSE
	67	Isolates, Burushaski	10	FALSE	FALSE
	68	Isolates, Ket	10	FALSE	FALSE
