							
	Nom	Famille	Code	NbSegment	Selecte	Selecte1	CodeBase
	!XU	Khoisan, North-Khoisan	4904	141	FALSE	FALSE	10
	ABIPON	South-American, Macro-Panoan	6815	20	FALSE	FALSE	10
	ACHE	South-American, Equatorial	6866	21	FALSE	FALSE	10
	ACHUMAWI	North-American, Hokan	6744	23	FALSE	FALSE	10
	ACOMA	North-American, Keresiouan	6749	51	FALSE	FALSE	10
	ADZERA	Austro-Tai, Austronesian, East-Malayo-Polynesian	2419	25	FALSE	FALSE	10
	AFRO-ASIATIC	Afro-Asiatic	1061	50	FALSE	FALSE	20
	AGHEM	Niger-Kordofanian, Bantoid	4134	35	FALSE	FALSE	10
	AHTNA	Na-Dene, Athabaskan	6108	35	FALSE	FALSE	10
	AINU	Ural-Altaic, Ainu	2140	16	FALSE	FALSE	10
	AIZI	Niger-Kordofanian, Kru	4131	33	FALSE	FALSE	10
	AKAN	Niger-Kordofanian, Kwa	4115	35	FALSE	FALSE	10
	AKAWAIO	South-American, Macro-Carib	6853	23	FALSE	FALSE	10
	ALABAMA	North-American, Penutian	6759	17	FALSE	FALSE	10
	ALAMBLAK	Papuan, Sepik-Ramu	8634	25	FALSE	FALSE	10
	ALAWA	Australian, Maran	8354	26	FALSE	FALSE	10
	ALBANIAN	Indo-European, Albanian	2021	35	FALSE	FALSE	10
	ALEUT	Eskimo-Aleut, Aleut	6900	27	FALSE	FALSE	10
	ALGONQUIAN	North-American, Almosan	1097	20	FALSE	FALSE	20
	ALLADIAN	Niger-Kordofanian, Kwa	4152	36	FALSE	FALSE	10
	ALTAIC	Ural-Altaic, Altaic	1053	36	FALSE	FALSE	20
	AMAHUACA	South-American, Macro-Panoan	6810	22	FALSE	FALSE	10
	AMELE	Papuan, Trans-New-Guinea	8635	20	FALSE	FALSE	10
	AMHARIC	Afro-Asiatic, Semitic	4352	37	FALSE	FALSE	10
	AMO	Niger-Kordofanian, Plateau	4122	35	FALSE	FALSE	10
	AMUESHA	South-American, Macro-Arawakan	6824	26	FALSE	FALSE	10
	AMUZGO	North-American, Oto-Manguean	6770	37	FALSE	FALSE	10
	ANATOLIAN	Indo-European, Anatolian	1018	33	FALSE	FALSE	20
	ANDAMANESE	Papuan, Andamanese	8600	24	FALSE	FALSE	10
	ANDOKE	South-American, Macro-Carib	6851	26	FALSE	FALSE	10
	ANGAATIHA	Papuan, Trans-New-Guinea	8627	21	FALSE	FALSE	10
	ANGAS	Afro-Asiatic, Chadic	4367	43	FALSE	FALSE	10
	AO	Sino-Tibetan, Kuki-Naga	2512	20	FALSE	FALSE	10
	APINAYE	South-American, Macro-Ge	6809	30	FALSE	FALSE	10
	ARABELA	South-American, Andean	6817	18	FALSE	FALSE	10
	ARABIC	Afro-Asiatic, Semitic	4350	35	FALSE	FALSE	10
	ARAUCANIAN	South-American, Andean	6837	26	FALSE	FALSE	10
	ARAWAKAN	South-American, Macro-Arawakan	1116	34	FALSE	FALSE	20
	ARCHI	Caucasian	2605	91	FALSE	FALSE	10
	ARMENIAN	Indo-European, Armenian	2022	36	FALSE	FALSE	10
	ARRERNTE	Australian, Pama-Nyungan	8362	30	FALSE	FALSE	10
	ASHUSLAY	South-American, Macro-Panoan	6814	28	FALSE	FALSE	10
	ASMAT	Papuan, Trans-New-Guinea	8601	17	FALSE	FALSE	10
	ATAYAL	Austro-Tai, Atayalic	2407	26	FALSE	FALSE	10
	ATHAPASKAN	Na-Dene, Athabaskan	1110	43	FALSE	FALSE	20
	ATTIC	Indo-European, Greek	1104	24	FALSE	FALSE	20
	AUCA	South-American, Andean	6818	21	FALSE	FALSE	10
	AUSTRALIAN	Australian	1059	20	FALSE	FALSE	20
	AUSTRONESIAN	Austro-Tai, Austronesian	1041	28	FALSE	FALSE	20
	AVAR	Caucasian	2606	49	FALSE	FALSE	10
	AWIYA	Afro-Asiatic, Cushitic	4359	35	FALSE	FALSE	10
	AZANDE	Niger-Kordofanian, Ubangi-East	4130	35	FALSE	FALSE	10
	AZERBAIJANI	Ural-Altaic, Turkic	2159	33	FALSE	FALSE	10
	BAI	Sino-Tibetan, Sinitic	2506	29	FALSE	FALSE	10
	BAINING	Papuan, East-Papuan	8631	22	FALSE	FALSE	10
	BAKAIRI	South-American, Macro-Carib	6856	29	FALSE	FALSE	10
	BAMBARA	Niger-Kordofanian, Mande	4105	35	FALSE	FALSE	10
	BANDJALANG	Australian, Pama-Nyungan	8368	16	FALSE	FALSE	10
	BANTU	Niger-Kordofanian, Bantoid	1094	18	FALSE	FALSE	20
	BARASANO	South-American, Macro-Tucanoan	6832	23	FALSE	FALSE	10
	BARDI	Australian, Nyulnyulan	8357	24	FALSE	FALSE	10
	BARIBA	Niger-Kordofanian, Voltaic	4113	30	FALSE	FALSE	10
	BASHKIR	Ural-Altaic, Turkic	2163	38	FALSE	FALSE	10
	BASQUE	Isolates, Basque	2714	28	FALSE	FALSE	10
	BATAK	Austro-Tai, Austronesian, West-Malayo-Polynesian	2413	21	FALSE	FALSE	10
	BATS	Caucasian, Caucasian	2604	45	FALSE	FALSE	10
	BEEMBE	Niger-Kordofanian, Bantoid	4123	26	FALSE	FALSE	10
	BEJA	Afro-Asiatic, Cushitic	4361	26	FALSE	FALSE	10
	BELLA COOLA	North-American, Almosan	6771	31	FALSE	FALSE	10
	BENGALI	Indo-European, Indic	2017	43	FALSE	FALSE	10
	BERTA	Nilo-Saharan, Berta	4218	29	FALSE	FALSE	10
	BETE	Niger-Kordofanian, Kru	4144	37	FALSE	FALSE	10
	BIROM	Niger-Kordofanian, Plateau	4120	29	FALSE	FALSE	10
	BISA	Niger-Kordofanian, Mande	4104	24	FALSE	FALSE	10
	BOBO-FING	Niger-Kordofanian, Mande	4138	33	FALSE	FALSE	10
	BODO	Sino-Tibetan, Baric	2515	21	FALSE	FALSE	10
	BORORO	South-American, Macro-Ge	6850	20	FALSE	FALSE	10
	BRAHUI	Dravidian, Brahui	2917	33	FALSE	FALSE	10
	BRAO	Austro-Asiatic, Bahnaric	2311	31	FALSE	FALSE	10
