									
	Numero	Nom	Code	APICodeEntier	CaractHex	Ajouter sous Excel	Caracteristique	APICode	CodeBase
	1	PRE BASQUE	1000	301	0061	a	low central unrnd perif vowel	a	20
	2	PRE BASQUE	1000	336	00610069	ai	low central unrnd thfu diph	ai	20
	3	PRE BASQUE	1000	343	00610075	au	low central unrnd thbr diph	au	20
	4	PRE BASQUE	1000	350	0062	b	vd bilabial stp	b	20
	5	PRE BASQUE	1000	374	0064	d	vd alveolar stp	d	20
	6	PRE BASQUE	1000	416	0064005A2015	dZ―	vd alveolar sib affricate	dz	20
	7	PRE BASQUE	1000	420	0065	e	himid front unrnd perif vowel	e	20
	8	PRE BASQUE	1000	427	00650069	ei	himid front unrnd thfu diph	ei	20
	9	PRE BASQUE	1000	430	00650075	eu	himid front unrnd thbr diph	eu	20
	10	PRE BASQUE	1000	439	0067	g	vd velar stp	g	20
	11	PRE BASQUE	1000	534	0069	i	high front unrnd perif vowel	i	20
	12	PRE BASQUE	1000	579	006B25BA	k►	long vl velar stp	k…	20
	13	PRE BASQUE	1000	600	006C	l	vd alveolar laterapprox	l	20
	14	PRE BASQUE	1000	637	006E	n	vd alveolar nasal	n	20
	15	PRE BASQUE	1000	649	006E25BA	n►	long vd alveolar nasal	n…	20
	16	PRE BASQUE	1000	693	006F	o	himid back rounded perif vowel	o	20
	17	PRE BASQUE	1000	714	006F0069	oi	himid back rounded thfu diph	oi	20
	18	PRE BASQUE	1000	726	007025BA	p►	long vl bilabial stp	p…	20
	19	PRE BASQUE	1000	763	0072	r	vd alveolar trill	r	20
	20	PRE BASQUE	1000	776	0156	Ŗ	vd alveolar flap	|	20
	21	PRE BASQUE	1000	786	0073	s	vl alveolar sib fricative	s	20
	22	PRE BASQUE	1000	812	007425BA	t►	long vl alveolar stp	t…	20
	23	PRE BASQUE	1000	849	007400732015	ts―	vl alveolar sib affricate	ts	20
	24	PRE BASQUE	1000	855	0075	u	high back rounded perif vowel	u	20
	25	PRE BASQUE	1000	871	00750069	ui	high back rounded thfu diph	ui	20
	26	PRE BASQUE	1000	909	005A	Z	vd alveolar sib fricative	z	20
	27	PRE BASQUE	1000	977	006C25BA	l►	long vd alveolar laterapprox	l…	20
	28	SANGIRIC	1001	173	003F	?	vl glottal stp	/	20
