BdprotoID	LanguageName	SpecificDialect	Phoneme	PhonemeNotes	Allophone	AllophoneNotes
16	Akkadian		a		aː	the contrast could be phonemic, but there is no conclusive evidence
			e		eː	the contrast could be phonemic, but there is no conclusive evidence
			i		iː	the contrast could be phonemic, but there is no conclusive evidence
			u		uː	the contrast could be phonemic, but there is no conclusive evidence
			tʼ			
			kʼ			
			p			
			t			
			k			
			ʔ			
			b			
			d			
			g			
			ʦʼ			
			ʦ			
			tɬ			
			ʣ			
			χ	could also be x		
			m			
			n			
			l			
			r			
			w	does not occur before consonants or at the end of words		
			j	only occurs in intervocalic position		
			tʼː	only in intervocalic position		
			kʼː	only in intervocalic position		
			pː	only in intervocalic position		
			tː	only in intervocalic position		
			kː	only in intervocalic position		
			ʔː	only in intervocalic position		
			bː	only in intervocalic position		
			dː	only in intervocalic position		
			gː	only in intervocalic position		
			ʦʼː	only in intervocalic position		
			ʦː	only in intervocalic position		
			tɬː	only in intervocalic position		
			ʣː	only in intervocalic position		
			χː	only in intervocalic position		
			mː	only in intervocalic position		
			nː	only in intervocalic position		
			lː	only in intervocalic position		
			rː	only in intervocalic position		
			wː	only in intervocalic position		
			jː	only in intervocalic position		
						
17	Hittite		i		aː	the contrast could be phonemic, but there is no conclusive evidence
			u		eː	the contrast could be phonemic, but there is no conclusive evidence
			e		iː	the contrast could be phonemic, but there is no conclusive evidence
			a		uː	the contrast could be phonemic, but there is no conclusive evidence
			p			
			t			
			k			
			ʦ			
			kʷ			
			s			
			ħ	the phonetic realization is unclear, could also be h or something similar		
			m			
			n			
			l			
			r	does not occur word-initially		
			w			
			j			
			pː	the phonetic contrast to p is unclear, could also be voiced vs unvoiced or aspired to unaspired		
			tː	the phonetic contrast to t is unclear, could also be voiced vs unvoiced or aspired to unaspired		
			kː	the phonetic contrast to k is unclear, could also be voiced vs unvoiced or aspired to unaspired		
			ʦː	unclear whether this really exists		
			kʷː	the phonetic contrast to kʷ is unclear, could also be voiced vs unvoiced or aspired to unaspired		
			sː			
			hː	the phonetic contrast to ħ is unclear, could also be voiced vs unvoiced		
			mː			
			nː			
			lː			
			rː			
			wː	unclear whether this really exists		
			jː	unclear whether this really exists		
						
18	Ancient North Arabian		i			
			u			
			a			
			eː	if it exists from a monophthongised ai		
			oː	if it exists from a monophthongised au		
			t			
			k			
			q			
			tˁ			
			ʔ			
			b			
			d			
			g			
			f			
			θ			
			s			
			ɬ			
			ʃ			
			ç	the phonetic realisation is unclear, could also be j		
			χ			
			ħ			
			h			
			θˁ			
			sˁ			
			β	some use v instead		
			ð			
			z			
			ɣ			
			ðˁ			
			m			
			n			
			l			
			r			
			tː	only in intervocalic position		
			kː	only in intervocalic position		
			qː	only in intervocalic position		
			tˁː	only in intervocalic position		
			ʔː	only in intervocalic position		
			bː	only in intervocalic position		
			dː	only in intervocalic position		
			gː	only in intervocalic position		
			fː	only in intervocalic position		
