Laut	Art.Ort	Art.Art	sth
ɣ	velar	frikativ	+
b	labial	plosiv	+
d	dental	plosiv	+
ð	dental	frikativ	+
f	labial	frikativ	–
g	velar	plosiv	+
h	glottal	frikativ	–
k	velar	plosiv	–
l	dental	lateral	+
m	labial	nasal	+
ʎ	dental	palatal	+
n	dental	nasal	+
ʃ	palatal	frikativ	–
ɲ	palatal	nasal	+
ts	dental	affriziert	–
p	labial	plosiv	–
r	dental	vibrant	+
ʒ	dental	frikativ	+
s	dental	frikativ	–
t	dental	plosiv	–
j	palatal	approximant	+
w	labial	approximant	+
v	labial	frikativ	+
~v	labial	nasal	+
x	velar	frikativ	–
lː	dental	lateral	+
nː	dental	nasal	+
