Laut	Art.Ort	Art.Art	sth
ɬ	dental	lateral	–
b	labial	plosiv	+
d	dental	plosiv	+
ð	dental	frikativ	+
f	labial	frikativ	–
g	velar	plosiv	+
h	glottal	frikativ	–
k	velar	plosiv	–
l	dental	lateral	+
m	labial	nasal	+
mʰ	labial	nasal	–
n	dental	nasal	+
nʰ	dental	nasal	–
ŋ	velar	nasal	+
ŋʰ	velar	nasal	–
p	labial	plosiv	–
r	dental	vibrant	+
rʰ	dental	vibrant	–
s	dental	frikativ	–
t	dental	plosiv	–
i̯	palatal	approximant	+
u̯	labial	approximant	+
v	labial	frikativ	+
θ	dental	frikativ	–
χ	velar	frikativ	–
