BdprotoID	LanguageName	Phoneme	PhonemeNotes	Allophone	AllophoneNotes
1	Proto-Berber	ɑ			
		i			
		u			
		ɑː			
		iː			
		eː			
		uː			
		m	labial nasal		
		b	labial stop		
		f	labiodental fricative		
		β	bilabial fricative		
		mː	long labial nasal		
		bː	long labial stop		
		fː	long labiodental fricative		
		n̪	plain dental nasal		
		t̪	plain dental voiceless stop		
		d̪	plain dental voiced stop		
		s̪	plain dental voiceless fricative		
		z̪	plain dental voiced fricative		
		l̪	plain dental lateral approximant		
		r̪	plain dental trill		
		n̪ː	long plain dental nasal		
		t̪ː	long plain dental voiceless stop		
		d̪ː	long plain dental voiced stop		
		s̪ː	long plain dental voiceless fricative		
		z̪ː	long plain dental voiced fricative		
		l̪ː	long plain dental lateral approximant		
		r̪ː	long plain dental trill		
		d̪ˤ	dental pharyngalized stop		
		z̪ˤ	dental pharyngalized fricative		
		d̪ˤː	long dental pharyngalized stop		
		z̪ˤː	long dental pharyngalized fricative		
		c	postalveolar/palatal voiceless stop		
		ɟ	postalveolar/palatal voiced stop		
		ʃ	postalveolar/palatal voiceless fricative		
		ʒ	postalveolar/palatal voiced fricative	“uncertain”	
		j	postalveolar/palatal approximant		
		cː	long postalveolar/palatal voiceless stop		
		ɟː	long postalveolar/palatal voiced stop		
		ʃː	long postalveolar/palatal voiceless fricative	“uncertain”	
		jː	long postalveolar/palatal approximant		
		k	plain voiced velar stop		
		g	plain voiceless velar stop		
		ɣ	plain voiced velar fricative		
		kː	long plain voiced velar stop		
		gː	long plain voiceless velar stop		
		gʷː	voiceless labiovelar stop		
		qː	long voiceless uvular stop		
		ʔ	glottal stop		
					
2	Proto-Kartvelian	i	front close short vowel		
		ɛ	front open-mid short vowel		
		ɛː	fron open-mid long vowel		
		ɑ	back open unrounded short vowel		
		ɑː	back open unrounded long vowel		
		u	back close rounded short vowel		
		ɔ	back open-mid rounded short vowel		
		ɔː	back open-mid rounded long vowel		
		m	labial nasal		
		b	voiced labial plosive		
		p	voiceless labial plosive		
		pʼ	ejective labial plosive		
		w	labial approximant		
		n	dental nasal		
		d	voiced dental plosive		
		t	voiceless dental plosive		
		tʼ	ejective dental plosive		
		d͡z	dental voiced affricate		
		t͡s	dental voiceless affricate		
		t͡sʼ	dental ejective affricate		
		s	dental voiceless fricative		
		z	dental voiced fricative		
		l	dental approximant		
		d͡ʐ	denti-alveolar voiced affricate		
		t͡ʂ	denti-alveolarl voiceless affricate		
		t͡ʂʼ	denti-alveolar ejective affricate		
		ʂ	denti-alveolar voiceless fricative		
		ʐ	denti-alveolar voiced fricative		
		d͡ʒ	central alveolar voiced affricate		
		t͡ʃ	central alveolar voiceless affricate		
		t͡ʃʼ	central alveolar ejective affricate		
		ʃ	central alveolar voiceless fricative		
		ʒ	central alveolar voiced fricative		
		r	central alveolar trill		
		t͡ɬʼ	lateral alveolar ejective affricate		
		ɬ	lateral alveolar voiceless fricative		
		g	voiced velar plosive		
		k	voiceless velar plosive		
		kʼ	ejective velar plosive		
		x	voiceless velar fricative		
		ɣ	voiced velar fricative		
		q	voiceless uvular plosive		
		qʼ	voiced uvular plosive		
		h	voiceless glottal fricative		
					
3	Proto-Balto-Slavic	m	labial nasal		
		p	voiceless labial plosive		
		b	voiced labial plosive		
		w	labial approximant		
		n	coronal nasal		
		t	coronal voiceless plosive		
		d	coronal voiced plosive		
		s	coronal fricative	z	[z] surfaced as an allophone of /s/ before a voiced consonant in Proto-Balto-Slavic
		r	coronal trill		
		l	coronal lateral approximant		
		ʃ	postalveolar voiceless fricative <š>		
		ç	voiceless palatal fricative <ś>		
		ʝ	voiced palatal fricative		
		j	palatal approximant		
		k	voiceless velar plosive		
		g	voiced velar plosive		
		i	short front close vowel		
		iː	long front close vowel		
		e	short front mid vowel		
		eː	long front mid vowel		
		u	short back close vowel		
		uː	long back close vowel		
		oː	long back mid vowel		
		ɑ	short back open vowel		
		ɑː	long back open vowel		
					
4	Proto-Slavic	m	labial nasal		
		p	voiceless labial plosive		
		b	voiced labial plosive		
		ʋ	v was a labial approximant [ʋ]. It may have had bilabial [w] as an allophone in certain positions (as in modern Slovene).“		
		n	coronal nasal		
		t	coronal voiceless plosive		
		d	coronal voiced plosive		
		t͡s	voiceless alveolar affricate	d͡z	voiced counterpart
		s	voiceless coronal fricative		
		z	voiced coronal fricative		
		r	coronal trill		
		l	coronal lateral approximant	ɫ	l was [l]. Before back vowels, it was probably fairly strongly velarized [ɫ] in many dialects.
		ɲ	The sonorants *ľ *ň were either palatalized [lʲ nʲ] or true palatal [ʎ ɲ]		
		tʲ	The pronunciation of *ť and *ď is not precisely known, though it is likely that they were held longer (geminate). They may have been palatalized dentals [tʲː dʲː], or perhaps true palatal [cː ɟː] as in modern Macedonian		
		dʲ	The pronunciation of *ť and *ď is not precisely known, though it is likely that they were held longer (geminate). They may have been palatalized dentals [tʲː dʲː], or perhaps true palatal [cː ɟː] as in modern Macedonian		
		t͡ʃ	voiceless palatal affricate		
		ʃ	š and *ž were postalveolar [ʃ] and [ʒ]		
		ʒ	š and *ž were postalveolar [ʃ] and [ʒ] “		
		sʲ	ś was [sʲ] or perhaps [ɕ]. It merged with *š in West Slavic, with *s in the other dialect		
		rʲ	The pronunciation of *ř is not precisely known, but it was approximately a palatalized trill [rʲ]. It survives as a separate phoneme only in Czech, but also existed in earlier Polish (where it has since merged with *ž <ż>, but continues to be spelled <rz>). In other languages it either merged with *r, or dissimilated into *rj.		
		ʎ	The sonorants *ľ *ň were either palatalized [lʲ nʲ] or true palatal [ʎ ɲ]		
		j	palatal approximant		
		k	voiceless velar plosive		
		g	voiced velar plosive		
		x	voiceless velar fricative		
		i	short front close vowel		
		e	short front mid vowel		
		u	short central/back close vowel		
		o	short back mid/open vowel		
		iː	long front close vowel		
		eː	long front mid/open vowel		
		uː	long back rounded vowel		
		ɯː	long back unrounded vowel		
		ɑː	long back open vowel		
		ẽ	front mid nasal vowel		
