BdprotoID,LanguageName,SourceLanguageName,LanguageFamily,LanguageFamilyRoot,Glottocode,FamilyID,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,HomelandLatitude,HomelandLongitude,HomelandSource,HomelandComments,BibtexKey,Source,Comments
3,Proto-Balto-Slavic,Proto-Balto-Slavic,Balto-Slavic,Indo-European,balt1263,indo1319,Reconstructed,Eurasia,,,all,between 1500 and 1000 B.C. (novotna2011glottochronology),3000,,,,,kortlandt1979_phon,UZ,
4,Proto-Slavic,Proto-Slavic,Balto-Slavic,Indo-European,slav1255,indo1319,Reconstructed,Eurasia,,,all,around 500 AD split of daughter languages (andersen2003language),1500,,,,Eastern Poland and Wester Ukraine (andersen2003language),schenker1993proto,UZ,
5,Proto-Celtic,Proto-Celtic,Celtic,Indo-European,celt1248,indo1319,Reconstructed,Eurasia,,,all,,3000,,,,,schrijver1995studies,UZ,gosden2014celtic
6,Proto-Tai,Proto-Tai,Kam-Tai,Tai-Kadai,daic1237,taik1256,Reconstructed,Eurasia,,,all,between one and three thousand years ago (enfield2013linguistic),1000,,,,,pittayaporn2009proto,UZ,
7,Proto-Turkic,Proto-Turkic,Turkic,Turkic,turk1311,turk1311,Reconstructed,Eurasia,,,all,,2200,,,,,ronatas1998reconstruction,UZ,hruschka2015detecting
8,Proto-Mongolic,Proto-Mongolic,Mongolic,Mongolic-Khitan,mong1329,mong1329,Reconstructed,Eurasia,,,all,less than 1000 years (brown2010concise),1000,,,,,jahunen2003,UZ,
9,Proto-Kadaic,Proto-Kra,Kadaic,Tai-Kadai,kada1291,taik1256,Reconstructed,Eurasia,,,all,,,,,,,ostapirat2000proto-kra,UZ,
10,Proto-Hlai,Proto-Hlai,Hlaic,Tai-Kadai,hlai1239,taik1256,Reconstructed,Eurasia,,,all,,,,,,,norquest2007phonological,UZ,
11,Proto-Tibeto-Burman,Proto-Tibeto-Burman,Tibeto-Burman,Sino-Tibetan,NA,sino1245,Reconstructed,Eurasia,,,all,,6000,,,,"Somewhere on the Himalayan plateau, where the great rivers of East and Southeast Asia (including the Yellow, Yangtze, Mekong, Brahmaputra, Salween, and Irrawaddy) have their source (stedt2015sinotibetan)",matisoff2003handbook,UZ,stedt2015sinotibetan
12,Proto-Austroasiatic,Proto-Austroasiatic,Austroasiatic,Austroasiatic,aust1305,aust1305,Reconstructed,Eurasia,,,all,2000 BCE (sidwell-family),4000,14.83,100.5,Wichmann_etal2010,,shorto2006mon,UZ,
13,Proto-Iroquoian,Proto-Iroquoian,Iroquoian,Iroquoian,iroq1247,iroq1247,Reconstructed,North America,,,all,"3,500 to 3,800 for the split of South and North Iroquoian (lounsbury1961iroquois)",5500,42.75,-76.17,Wichmann_etal2010,,Julian2010,UZ,
15,Proto-Indo-European,Indo-European,Indo-European,Indo-European,indo1319,indo1319,Reconstructed,Eurasia,,,all,,,34,71.55,Wichmann_etal2010,,Fortson2011-indo-european,UZ,
16,Proto-Alor-Pantar,Proto-Alor-Pantar,Alor-Pantar,Timor-Alor-Pantar,alor1249,timo1261,Reconstructed,Papunesia,,,consonants only,3000,3000,,,,Pantar Strait,klamer2014,HUJI,
17,Proto-Western Pantar,Western Pantar,Alor-Pantar,Timor-Alor-Pantar,lamm1241,timo1261,Reconstructed,Papunesia,,,consonants only,,,,,,,klamer2014,HUJI,
18,Proto-Timor-Alor-Pantar,Proto-Timor-Alor-Pantar,Timor-Alor-Pantar,Timor-Alor-Pantar,timo1261,timo1261,Reconstructed,Papunesia,,,consonants only,,,,,,,klamer2014,HUJI,
19,Proto-North Halmahera,Proto-North Halmahera,North Halmahera,North Halmahera,nort2923,nort2923,Reconstructed,Papunesia,,,consonants only,,,,,,,holtonrobinson2014,HUJI,"check wada1980, holtonrobinson2014 in klamer2014"
20,Proto-Trans-New Guinea,Proto-Trans-New Guinea,Nuclear Trans New Guinea,Nuclear Trans New Guinea,nucl1709,nucl1709,Reconstructed,Papunesia,,,consonants only,,,-8.33,124.25,Wichmann_etal2010,,holtonrobinson2014,HUJI,"After Pawley 1995, 2001 -- check"
21,Proto-Algonquian,Proto-Algonquian,Algic,Algonquian,algo1256,algi1248,Reconstructed,North America,,,all,,,,,,,Goddard1979,HUJI,
22,Proto-Caddoan,Proto-Caddoan,Caddoan,Caddoan,cadd1255,cadd1255,Reconstructed,North America,,,all,,,33.33,-93.5,Wichmann_etal2010,,Chafe1979,HUJI,
23,Proto-East Timor,Proto-East Timor,East Timor-Bunaq,Timor-Alor-Pantar,east2520,timo1261,Reconstructed,Papunesia,,,all,,,,,,,Mandalaetal2011,HUJI,
24,Proto-Oirata-Fataluku,Proto-Oirata-Fataluku,East Timor ,Timor-Alor-Pantar,fata1246,timo1261,Reconstructed,Papunesia,,,all,,,,,,,Mandalaetal2011,HUJI,
25,Proto-Quechuan,Proto-Quechuan,Quechuan,Quechuan,quec1387,quec1387,Reconstructed,South America,,,all,,,0.33,-78,Wichmann_etal2010,,Cerron2003,HUJI,
26,Proto-Aymaran,Proto-Aymaran,Aymaran,Aymaran,ayma1253,ayma1253,Reconstructed,South America,,,consonants only,,,,,,,Cerron2000,HUJI,
27,Proto-Barbacoan,Proto-Barbacoan,Barbacoan,Barbacoan,barb1265,barb1265,Reconstructed,South America,,,all,,,,,,,curnow1998,HUJI,
28,Proto-Austroasiatic,Proto-Austroasiatic,Austroasiatic,Austroasiatic,aust1305,aust1305,Reconstructed,Eurasia,,,all,,,14.83,100.5,Wichmann_etal2010,,Austroasiatic_SidwellRau2015,HUJI,
29,Proto-Aslian,Proto-Aslian,Aslian,Austroasiatic,asli1243,aust1305,Reconstructed,Eurasia,,,all,,,,,,,Austroasiatic_SidwellRau2015,HUJI,
30,Proto-Saami,Proto-Saami,Saamic,Uralic,saam1281,ural1272,Reconstructed,Eurasia,,,all,,,,,,,,HUJI,"needs to be checked, think it must be Korhonen1988 but what's given there is an earlier stage. "
31,Proto-Celtic,Proto-Celtic,Celtic,Indo-European,celt1248,indo1319,Reconstructed,Eurasia,,,all,,,,,,Central Europe,,HUJI,
32,Proto-Balto-Slavic,Proto-Balto-Slavic,Balto-Slavic,Indo-European,balt1263,indo1319,Reconstructed,Eurasia,,,all,,,,,,,kuemmel2007,HUJI,
33,Proto-Indo-Iranian,Proto-Indo-Iranian,Indo-Iranian,Indo-European,indo1320,indo1319,Reconstructed,Eurasia,,,all,,,,,,,"Kümmel2007,Mayrhofer1989,Kobayashi2004,Lipp2009",HUJI,
34,Proto-Slavic,Proto-Slavic,Balto-Slavic,Indo-European,slav1255,indo1319,Reconstructed,Eurasia,,,all,,,,,,,Hock2003a,HUJI,
35,Proto-Italic,Proto-Italic,Italic,Indo-European,ital1284,indo1319,Reconstructed,Eurasia,,,all,,,,,,,Kümmel2007,HUJI,
36,Proto-Baltic,Proto-Baltic,Balto-Slavic,Indo-European,balt1263,indo1319,Reconstructed,Eurasia,,,all,,,,,,,kuemmel2007,HUJI,
37,Proto-Anatolian,Proto-Anatolian,Anatolian,Indo-European,anat1257,indo1319,Reconstructed,Eurasia,3.5-3K,,all,,,,,,,"Kümmel2007,Melchert1994a",HUJI,
38,Proto-Tokharian,Proto-Tocharian,Tokharian,Indo-European,tokh1241,indo1319,Reconstructed,Eurasia,,,all,,,,,,,"Kümmel2007,Adams1988,Ringe1996,Kim1999",HUJI,
39,Proto-Nuristani,Proto-Nuristani,Indo-Iranian,Indo-European,nuri1243,indo1319,Reconstructed,Eurasia,,,consonants only,,,,,,,"Kümmel2007,Nelson1991",HUJI,
40,Proto-Iranian,Proto-Iranian,Iranian,Indo-European,iran1269,indo1319,Reconstructed,Eurasia,,,all,,,,,,,"Kümmel2007,Mayrhofer1989,Lipp2009",HUJI,
41,Proto-Albanian,Proto-Albanian,Albanian,Indo-European,alba1267,indo1319,Reconstructed,Eurasia,,,consonants only,,,,,,,Kümmel2007,HUJI,
42,Proto-Greek,Proto-Greek,Graeco-Phrygian,Indo-European,gree1276,indo1319,Reconstructed,Eurasia,,,all,,,,,,,"Kümmel2007,Bartoněk1961",HUJI,
43,Proto-Germanic,Proto-Germanic,Germanic,Indo-European,germ1287,indo1319,Reconstructed,Eurasia,,,all,,,,,,,,HUJI,
44,Proto-Uralic,Proto-Uralic,Uralic,Uralic,ural1272,ural1272,Reconstructed,Eurasia,,,all,,,68,30,Wichmann_etal2010,,sammallahti1988,HUJI,
46,Proto-Ersuic,Proto-Ersuic,Burmo-Quiangic,Sino-Tibetan,ersu1242,sino1245,Reconstructed,Eurasia,,,all,,,,,,,Yu2012,HUJI,
47,Proto-Kiranti,Proto-Kiranti,Himalayish,Sino-Tibetan,kira1253,sino1245,Reconstructed,Eurasia,,,all,,,,,,,Jacques2017,HUJI,
48,Proto-Central Chadic,Proto-Central Chadic,Chadic,Afro-Asiatic,bium1280,afro1255,Reconstructed,Africa,,,all,,,,,,,Gravina2016,HUJI,"Central Chadic is called Biu-Mandera by Glottolog, but CC seems to be an ok name."
49,Proto-Nilotic,Proto-Nilotic,Nilotic,Nilotic,nilo1247,nilo1247,Reconstructed,Africa,,,all,,,,,,,Dimmendaal1988,HUJI,
50,Proto-Eastern Nilotic,Proto-Eastern Nilotic,Nilotic,Nilotic,east2418,nilo1247,Reconstructed,Africa,,,consonants only,,,,,,,"Dimmendaal1988,Vossen1982",HUJI,
51,Proto-Southern Nilotic,Proto-Southern Nilotic,Nilotic,Nilotic,sout2830,nilo1247,Reconstructed,Africa,,,consonants only,,,,,,,"Dimmendaal1988,Rottland1982",HUJI,
52,Proto-Kuki-Chin,Proto-Kuki-Chin,Kuki-Chin-Naga,Sino-Tibetan,kuki1246,sino1245,Reconstructed,Eurasia,,,consonants only,,,,,,,Hill2014,HUJI,
53,Proto-Eskimo,Proto-Eskimo,Eskimo,Eskimo-Aleut,eski1265,eski1264,Reconstructed,North America,,,all,,4000,,,,Alaska,Berge2018,HUJI,
54,Proto-Unangam Tunuu (Aleut),Proto-Unangam Tunuu (Aleut),Aleut,Eskimo-Aleut,aleu1260,eski1264,Reconstructed,North America,,,all,,4000,,,,Alaska,Berge2018,HUJI,
55,Proto-Tupi-Guarani,Proto-Tupi-Guarani,Tupi-Guarani,Tupian,tupi1276,tupi1275,Reconstructed,South America,,,all,,,,,,,MeiraDrude2015,HUJI,
56,Proto-Maweti-Guarani,Proto-Maweti-Guarani,Maweti-Guarani,Tupian,mawe1252,tupi1275,Reconstructed,South America,,,all,,,,,,,MeiraDrude2015,HUJI,
57,Proto-Jabuti,Proto-Jabuti,Jabuti,Nuclear Macro-Je,jabu1249,nucl1710,Reconstructed,South America,,,all,,,,,,,RibeiroVandervoort2010,HUJI,
58,Proto-Je,Proto-Je,Je,Nuclear Macro-Je,nucl1710,nucl1710,Reconstructed,South America,,,all,,,,,,,RibeiroVandervoort2010,HUJI,
59,Proto-Maiduan,Proto-Maiduan,Maiduan,Maiduan,maid1262,maid1262,Reconstructed,North America,,,all,,,,,,,"Ultan1964,Campbell1997",HUJI,Campbell1997:128
60,Proto-Mamore-Guapore,Proto-Mamore-Guapore,Arawakan,Arawakan,NA,NA,Reconstructed,South America,,,all,,,,,,,Jolkesky2016,HUJI,
61,Proto-Taranoan,Proto-Taranoan,Guianan,Cariban,tara1324,cari1283,Reconstructed,North America,,,all,,,,,,,Meira1998,HUJI,
62,Proto-Totonacan,Proto-Totonacan,Totonacan  ,Totonacan  ,toto1251,toto1251,Reconstructed,North America,,,all,,,19.92,-97.42,Wichmann_etal2010,,brown2011totozoquean,HUJI,
63,Proto-Mixe-Zoquean,Proto-Mixe-Zoquean,Zoque,Mixe-Zoque,mixe1284,mixe1284,Reconstructed,North America,,,all,,,17.22,-96.03,Wichmann_etal2010,,brown2011totozoquean.pdf,HUJI,
64,Proto-Totozoquean,Proto-Totozoquean,Totozoquean,Totozoquean,NA,NA,Reconstructed,North America,,,all,,,,,,,brown2011totozoquean,HUJI,
65,Proto-Tol (Jicaque),Proto-Tol (Jicaque),Tol,Jicaquean,jica1245,jica1245,Reconstructed,North America,,,all,,,,,,,CampbellOltrogge1980,HUJI,
66,Proto-Tucanoan,Proto-Tukanoan,Tucanoan,Tucanoan,tuca1253,tuca1253,Reconstructed,South America,,,consonants only,,,,,,,Chacon2014,HUJI,
67,Proto-Tsimshian,Proto-Tsimshian,Tsimshian,Tsimshian,tsim1258,tsim1258,Reconstructed,North America,,,all,,,,,,,Tarpent1997,HUJI,
68,Proto-Kadaic,Proto-Kra,Kadaic,Tai-Kadai,kada1291,taik1256,Reconstructed,Eurasia,,,all,,,,,,,Ostapirat2000,HUJI,
69,Proto-Tai,Proto-Tai,Kam-Tai,Tai-Kadai,daic1237,taik1256,Reconstructed,Eurasia,,,all,,,,,,,Pittayaporn2009,HUJI,
70,Proto-Hlai,Proto-Hlai,Hlaic,Tai-Kadai,hlai1239,taik1256,Reconstructed,Eurasia,,,all,,,,,,,Ostapirat2004,HUJI,
