BdprotoID,SourceLanguageName,SpecificDialect,Phoneme,PhonemeNotes,Allophone,AllophoneNotes
2000,Akkadian,,a,,aː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,e,,eː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,i,,iː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,u,,uː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,tʼ,,,
,,,kʼ,,,
,,,p,,,
,,,t,,,
,,,k,,,
,,,ʔ,,,
,,,b,,,
,,,d,,,
,,,ɡ,,,
,,,tsʼ,,,
,,,ts,,,
,,,tɬ,,,
,,,dz,,,
,,,χ,could also be x,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,,,
,,,w,does not occur before consonants or at the end of words,,
,,,j,only occurs in intervocalic position,,
,,,tʼː,only in intervocalic position,,
,,,kʼː,only in intervocalic position,,
,,,pː,only in intervocalic position,,
,,,tː,only in intervocalic position,,
,,,kː,only in intervocalic position,,
,,,ʔː,only in intervocalic position,,
,,,bː,only in intervocalic position,,
,,,dː,only in intervocalic position,,
,,,ɡː,only in intervocalic position,,
,,,tsʼː,only in intervocalic position,,
,,,tsː,only in intervocalic position,,
,,,tɬː,only in intervocalic position,,
,,,dzː,only in intervocalic position,,
,,,χː,only in intervocalic position,,
,,,mː,only in intervocalic position,,
,,,nː,only in intervocalic position,,
,,,lː,only in intervocalic position,,
,,,rː,only in intervocalic position,,
,,,wː,only in intervocalic position,,
,,,jː,only in intervocalic position,,
,,,,,,
2001,Hittite,,i,,aː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,u,,eː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,e,,iː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,a,,uː,"the contrast could be phonemic, but there is no conclusive evidence"
,,,p,,,
,,,t,,,
,,,k,,,
,,,ts,,,
,,,kʷ,,,
,,,s,,,
,,,ħ,"the phonetic realization is unclear, could also be h or something similar",,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,does not occur word-initially,,
,,,w,,,
,,,j,,,
,,,pː,"the phonetic contrast to p is unclear, could also be voiced vs unvoiced or aspired to unaspired",,
,,,tː,"the phonetic contrast to t is unclear, could also be voiced vs unvoiced or aspired to unaspired",,
,,,kː,"the phonetic contrast to k is unclear, could also be voiced vs unvoiced or aspired to unaspired",,
,,,tsː,unclear whether this really exists,,
,,,kʷː,"the phonetic contrast to kʷ is unclear, could also be voiced vs unvoiced or aspired to unaspired",,
,,,sː,,,
,,,hː,"the phonetic contrast to ħ is unclear, could also be voiced vs unvoiced",,
,,,mː,,,
,,,nː,,,
,,,lː,,,
,,,rː,,,
,,,wː,unclear whether this really exists,,
,,,jː,unclear whether this really exists,,
,,,,,,
2002,Ancient North Arabian,,i,,,
,,,u,,,
,,,a,,,
,,,eː,if it exists from a monophthongised ai,,
,,,oː,if it exists from a monophthongised au,,
,,,t,,,
,,,k,,,
,,,q,,,
,,,tˤ,,,
,,,ʔ,,,
,,,b,,,
,,,d,,,
,,,ɡ,,,
,,,f,,,
,,,θ,,,
,,,s,,,
,,,ɬ,,,
,,,ʃ,,,
,,,ç,"the phonetic realisation is unclear, could also be j",,
,,,χ,,,
,,,ħ,,,
,,,h,,,
,,,θˤ,,,
,,,sˤ,,,
,,,β,some use v instead,,
,,,ð,,,
,,,z,,,
,,,ɣ,,,
,,,ðˤ,,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,r,,,
,,,tː,only in intervocalic position,,
,,,kː,only in intervocalic position,,
,,,qː,only in intervocalic position,,
,,,tˤː,only in intervocalic position,,
,,,ʔː,only in intervocalic position,,
,,,bː,only in intervocalic position,,
,,,dː,only in intervocalic position,,
,,,ɡː,only in intervocalic position,,
,,,fː,only in intervocalic position,,
,,,θː,only in intervocalic position,,
,,,sː,only in intervocalic position,,
,,,ɬː,only in intervocalic position,,
,,,ʃː,only in intervocalic position,,
,,,çː,only in intervocalic position,,
,,,χː,only in intervocalic position,,
,,,ħː,only in intervocalic position,,
,,,hː,only in intervocalic position,,
,,,θˤː,only in intervocalic position,,
,,,sˤː,only in intervocalic position,,
,,,βː,only in intervocalic position,,
,,,ðː,only in intervocalic position,,
,,,zː,only in intervocalic position,,
,,,ɣː,only in intervocalic position,,
,,,ðˤː,only in intervocalic position,,
,,,mː,only in intervocalic position,,
,,,nː,only in intervocalic position,,
,,,lː,only in intervocalic position,,
,,,rː,only in intervocalic position,,
,,,,,,
2003,Aramaic,,i,,,
,,,u,,,
,,,a,,,
,,,tˤ,,,
,,,kˤ,,,
,,,p,,,
,,,t,,,
,,,k,,,
,,,ʔ,,,
,,,b,,,
,,,d,,,
,,,h,,,
,,,θˤ,,,
,,,sˤ,,,
,,,ɬˤ,,,
,,,θ,,,
,,,s,,,
,,,ɬ,,,
,,,ʃ,,,
,,,ħ,,,
,,,h,,,
,,,ð,,,
,,,z,,,
,,,ʕ,,,
,,,m,,,
,,,n,,,
,,,l,,,
,,,ʀ,,,
,,,j,,,
,,,w,,,
,,,,,,
2004,Elamite,,i,maybe centralized,,
,,,u,maybe centralized,,
,,,a,,,
,,,e,unclear whether this really exists,,
,,,o,unclear whether this really exists,,
,,,p,,,
,,,t,,,
,,,k,,,
,,,ts,,,
,,,f,unclear whether this really exists,,
,,,s,,,
,,,x,,,
,,,m,,,
,,,n,,,
,,,r,,,
,,,ɾ,,,
,,,l,,,
,,,lː,only in intervocalic position,,
,,,,,,
2005,Avestan,Gathaic Avestan/Old Avestan,a,not in final position except before clitics,,
,,,aː,,,
,,,ã,,,
,,,ãː,,,
