BdprotoID,LanguageName,LanguageFamily,Phoneme
1061,AFRO-ASIATIC,Afro-Asiatic,ʕ
1061,AFRO-ASIATIC,Afro-Asiatic,ʔ
1061,AFRO-ASIATIC,Afro-Asiatic,ħ
1061,AFRO-ASIATIC,Afro-Asiatic,ŋ
1061,AFRO-ASIATIC,Afro-Asiatic,ŋʷ
1061,AFRO-ASIATIC,Afro-Asiatic,ʃ
1061,AFRO-ASIATIC,Afro-Asiatic,a
1061,AFRO-ASIATIC,Afro-Asiatic,aː
1061,AFRO-ASIATIC,Afro-Asiatic,b
1061,AFRO-ASIATIC,Afro-Asiatic,c
1061,AFRO-ASIATIC,Afro-Asiatic,cʼ
1061,AFRO-ASIATIC,Afro-Asiatic,d
1061,AFRO-ASIATIC,Afro-Asiatic,ɟ
1061,AFRO-ASIATIC,Afro-Asiatic,dɮ
1061,AFRO-ASIATIC,Afro-Asiatic,e
1061,AFRO-ASIATIC,Afro-Asiatic,eː
1061,AFRO-ASIATIC,Afro-Asiatic,f
1061,AFRO-ASIATIC,Afro-Asiatic,ɡ
1061,AFRO-ASIATIC,Afro-Asiatic,ɣ
1061,AFRO-ASIATIC,Afro-Asiatic,ɣʷ
1061,AFRO-ASIATIC,Afro-Asiatic,ɡʷ
1061,AFRO-ASIATIC,Afro-Asiatic,h
1061,AFRO-ASIATIC,Afro-Asiatic,ɬ
1061,AFRO-ASIATIC,Afro-Asiatic,i
1061,AFRO-ASIATIC,Afro-Asiatic,iː
1061,AFRO-ASIATIC,Afro-Asiatic,j
1061,AFRO-ASIATIC,Afro-Asiatic,k
1061,AFRO-ASIATIC,Afro-Asiatic,kʼ
1061,AFRO-ASIATIC,Afro-Asiatic,kʷ
1061,AFRO-ASIATIC,Afro-Asiatic,kʷʼ
1061,AFRO-ASIATIC,Afro-Asiatic,l
1061,AFRO-ASIATIC,Afro-Asiatic,m
1061,AFRO-ASIATIC,Afro-Asiatic,n
1061,AFRO-ASIATIC,Afro-Asiatic,ɲ
1061,AFRO-ASIATIC,Afro-Asiatic,o
1061,AFRO-ASIATIC,Afro-Asiatic,oː
1061,AFRO-ASIATIC,Afro-Asiatic,p
1061,AFRO-ASIATIC,Afro-Asiatic,pʼ
1061,AFRO-ASIATIC,Afro-Asiatic,r
1061,AFRO-ASIATIC,Afro-Asiatic,s
1061,AFRO-ASIATIC,Afro-Asiatic,sʼ
1061,AFRO-ASIATIC,Afro-Asiatic,t
1061,AFRO-ASIATIC,Afro-Asiatic,tʼ
1061,AFRO-ASIATIC,Afro-Asiatic,tɬʼ
1061,AFRO-ASIATIC,Afro-Asiatic,u
1061,AFRO-ASIATIC,Afro-Asiatic,uː
1061,AFRO-ASIATIC,Afro-Asiatic,w
1061,AFRO-ASIATIC,Afro-Asiatic,x
1061,AFRO-ASIATIC,Afro-Asiatic,xʷ
1061,AFRO-ASIATIC,Afro-Asiatic,z
1097,ALGONQUIAN,"North-American, Almosan",ʃ
1097,ALGONQUIAN,"North-American, Almosan",a
1097,ALGONQUIAN,"North-American, Almosan",aː
1097,ALGONQUIAN,"North-American, Almosan",e
1097,ALGONQUIAN,"North-American, Almosan",eː
1097,ALGONQUIAN,"North-American, Almosan",h
1097,ALGONQUIAN,"North-American, Almosan",ɬ
1097,ALGONQUIAN,"North-American, Almosan",i
1097,ALGONQUIAN,"North-American, Almosan",iː
1097,ALGONQUIAN,"North-American, Almosan",j
1097,ALGONQUIAN,"North-American, Almosan",k
1097,ALGONQUIAN,"North-American, Almosan",l
1097,ALGONQUIAN,"North-American, Almosan",m
1097,ALGONQUIAN,"North-American, Almosan",n
1097,ALGONQUIAN,"North-American, Almosan",o
1097,ALGONQUIAN,"North-American, Almosan",oː
1097,ALGONQUIAN,"North-American, Almosan",p
1097,ALGONQUIAN,"North-American, Almosan",s
1097,ALGONQUIAN,"North-American, Almosan",t
1097,ALGONQUIAN,"North-American, Almosan",w
1053,ALTAIC,"Ural-Altaic, Altaic",ɘ
1053,ALTAIC,"Ural-Altaic, Altaic",ɘː
1053,ALTAIC,"Ural-Altaic, Altaic",ŋ
1053,ALTAIC,"Ural-Altaic, Altaic",a
1053,ALTAIC,"Ural-Altaic, Altaic",aː
1053,ALTAIC,"Ural-Altaic, Altaic",b
1053,ALTAIC,"Ural-Altaic, Altaic",d
1053,ALTAIC,"Ural-Altaic, Altaic",d̠ʒ
1053,ALTAIC,"Ural-Altaic, Altaic",e
1053,ALTAIC,"Ural-Altaic, Altaic",eː
1053,ALTAIC,"Ural-Altaic, Altaic",ɡ
1053,ALTAIC,"Ural-Altaic, Altaic",i
1053,ALTAIC,"Ural-Altaic, Altaic",iː
1053,ALTAIC,"Ural-Altaic, Altaic",ɨ
1053,ALTAIC,"Ural-Altaic, Altaic",ɨː
1053,ALTAIC,"Ural-Altaic, Altaic",j
1053,ALTAIC,"Ural-Altaic, Altaic",k
1053,ALTAIC,"Ural-Altaic, Altaic",l
1053,ALTAIC,"Ural-Altaic, Altaic",ʎ
1053,ALTAIC,"Ural-Altaic, Altaic",m
1053,ALTAIC,"Ural-Altaic, Altaic",n
1053,ALTAIC,"Ural-Altaic, Altaic",ɲ
1053,ALTAIC,"Ural-Altaic, Altaic",o
1053,ALTAIC,"Ural-Altaic, Altaic",ø
1053,ALTAIC,"Ural-Altaic, Altaic",øː
1053,ALTAIC,"Ural-Altaic, Altaic",oː
1053,ALTAIC,"Ural-Altaic, Altaic",p
1053,ALTAIC,"Ural-Altaic, Altaic",r
1053,ALTAIC,"Ural-Altaic, Altaic",rʲ
1053,ALTAIC,"Ural-Altaic, Altaic",s
1053,ALTAIC,"Ural-Altaic, Altaic",t
1053,ALTAIC,"Ural-Altaic, Altaic",t̠ʃ
1053,ALTAIC,"Ural-Altaic, Altaic",u
1053,ALTAIC,"Ural-Altaic, Altaic",uː
1053,ALTAIC,"Ural-Altaic, Altaic",y
1053,ALTAIC,"Ural-Altaic, Altaic",yː
1018,ANATOLIAN,"Indo-European, Anatolian",ʕ
1018,ANATOLIAN,"Indo-European, Anatolian",ɘː
1018,ANATOLIAN,"Indo-European, Anatolian",ħ
1018,ANATOLIAN,"Indo-European, Anatolian",a
1018,ANATOLIAN,"Indo-European, Anatolian",aː
1018,ANATOLIAN,"Indo-European, Anatolian",æː
1018,ANATOLIAN,"Indo-European, Anatolian",b
1018,ANATOLIAN,"Indo-European, Anatolian",c
1018,ANATOLIAN,"Indo-European, Anatolian",d
1018,ANATOLIAN,"Indo-European, Anatolian",ɟ
1018,ANATOLIAN,"Indo-European, Anatolian",e
1018,ANATOLIAN,"Indo-European, Anatolian",eː
1018,ANATOLIAN,"Indo-European, Anatolian",ɡ
1018,ANATOLIAN,"Indo-European, Anatolian",ɡʷ
1018,ANATOLIAN,"Indo-European, Anatolian",i
1018,ANATOLIAN,"Indo-European, Anatolian",iː
1018,ANATOLIAN,"Indo-European, Anatolian",j
1018,ANATOLIAN,"Indo-European, Anatolian",k
1018,ANATOLIAN,"Indo-European, Anatolian",kʷ
1018,ANATOLIAN,"Indo-European, Anatolian",l
1018,ANATOLIAN,"Indo-European, Anatolian",m
1018,ANATOLIAN,"Indo-European, Anatolian",n
1018,ANATOLIAN,"Indo-European, Anatolian",o
1018,ANATOLIAN,"Indo-European, Anatolian",oː
1018,ANATOLIAN,"Indo-European, Anatolian",p
1018,ANATOLIAN,"Indo-European, Anatolian",r
1018,ANATOLIAN,"Indo-European, Anatolian",s
1018,ANATOLIAN,"Indo-European, Anatolian",t
1018,ANATOLIAN,"Indo-European, Anatolian",ts
1018,ANATOLIAN,"Indo-European, Anatolian",u
1018,ANATOLIAN,"Indo-European, Anatolian",uː
1018,ANATOLIAN,"Indo-European, Anatolian",w
1018,ANATOLIAN,"Indo-European, Anatolian",z
1116,ARAWAKAN,"South-American, Macro-Arawakan",a
1116,ARAWAKAN,"South-American, Macro-Arawakan",ã
1116,ARAWAKAN,"South-American, Macro-Arawakan",b
1116,ARAWAKAN,"South-American, Macro-Arawakan",d
1116,ARAWAKAN,"South-American, Macro-Arawakan",d̠ʒ
1116,ARAWAKAN,"South-American, Macro-Arawakan",e
1116,ARAWAKAN,"South-American, Macro-Arawakan",ẽ
1116,ARAWAKAN,"South-American, Macro-Arawakan",f
1116,ARAWAKAN,"South-American, Macro-Arawakan",ɡ
1116,ARAWAKAN,"South-American, Macro-Arawakan",h
1116,ARAWAKAN,"South-American, Macro-Arawakan",i
1116,ARAWAKAN,"South-American, Macro-Arawakan",ɨ
1116,ARAWAKAN,"South-American, Macro-Arawakan",ɨ̃
1116,ARAWAKAN,"South-American, Macro-Arawakan",ĩ
1116,ARAWAKAN,"South-American, Macro-Arawakan",j
1116,ARAWAKAN,"South-American, Macro-Arawakan",k
1116,ARAWAKAN,"South-American, Macro-Arawakan",kʰ
1116,ARAWAKAN,"South-American, Macro-Arawakan",l
1116,ARAWAKAN,"South-American, Macro-Arawakan",ʎ
1116,ARAWAKAN,"South-American, Macro-Arawakan",m
1116,ARAWAKAN,"South-American, Macro-Arawakan",n
1116,ARAWAKAN,"South-American, Macro-Arawakan",o
1116,ARAWAKAN,"South-American, Macro-Arawakan",õ
1116,ARAWAKAN,"South-American, Macro-Arawakan",p
1116,ARAWAKAN,"South-American, Macro-Arawakan",pʰ
1116,ARAWAKAN,"South-American, Macro-Arawakan",r
1116,ARAWAKAN,"South-American, Macro-Arawakan",s
1116,ARAWAKAN,"South-American, Macro-Arawakan",t
1116,ARAWAKAN,"South-American, Macro-Arawakan",t̠ʃ
1116,ARAWAKAN,"South-American, Macro-Arawakan",tʰ
1116,ARAWAKAN,"South-American, Macro-Arawakan",ts
1116,ARAWAKAN,"South-American, Macro-Arawakan",u
1116,ARAWAKAN,"South-American, Macro-Arawakan",ũ
1116,ARAWAKAN,"South-American, Macro-Arawakan",w
1110,ATHAPASKAN,"Na-Dene, Athabaskan",ɐ
1110,ATHAPASKAN,"Na-Dene, Athabaskan",ʔ
1110,ATHAPASKAN,"Na-Dene, Athabaskan",ɘ
1110,ATHAPASKAN,"Na-Dene, Athabaskan",ɢ
