BdprotoID,SourceLanguageName,Phoneme,PhonemeNotes,Allophone,AllophoneNotes,Variants,LowconfidencePhonemic,LowconfidencePhonetic
16,Proto-Alor-Pantar,p,,,,,,
16,Proto-Alor-Pantar,b,,,,,,
16,Proto-Alor-Pantar,t,,,,,,
16,Proto-Alor-Pantar,d,,,,,,
16,Proto-Alor-Pantar,k,,,,,,
16,Proto-Alor-Pantar,ɡ,,,,,,
16,Proto-Alor-Pantar,q,,,,,,
16,Proto-Alor-Pantar,s,,,,,,
16,Proto-Alor-Pantar,h,,,,,,
16,Proto-Alor-Pantar,m,,,,,,
16,Proto-Alor-Pantar,n,,,,,,
16,Proto-Alor-Pantar,w,,,,,,
16,Proto-Alor-Pantar,j,,,,,,
16,Proto-Alor-Pantar,l,,,,,,
16,Proto-Alor-Pantar,r,,,,,TRUE,
17,Western Pantar,p,,,,,,
17,Western Pantar,b,,,,,,
17,Western Pantar,t,,,,,,
17,Western Pantar,d,,,,,,
17,Western Pantar,k,,,,,,
17,Western Pantar,ɡ,,,,,,
17,Western Pantar,ʔ,glottal stop,,,,,
17,Western Pantar,s,,,,,,
17,Western Pantar,h,,,,,,
17,Western Pantar,m,,,,,,
17,Western Pantar,n,,,,,,
17,Western Pantar,ŋ,,,,,,
17,Western Pantar,w,,,,,,
17,Western Pantar,j,,,,,,
17,Western Pantar,l,,,,,,
17,Western Pantar,r,,,,,,
18,Proto-Timor-Alor-Pantar,p,,,,,,
18,Proto-Timor-Alor-Pantar,t,,,,,,
18,Proto-Timor-Alor-Pantar,k,,,,,,
18,Proto-Timor-Alor-Pantar,b,,,,,,
18,Proto-Timor-Alor-Pantar,d,,,,,,
18,Proto-Timor-Alor-Pantar,ɡ,,,,,,
18,Proto-Timor-Alor-Pantar,m,,,,,,
18,Proto-Timor-Alor-Pantar,n,,,,,,
18,Proto-Timor-Alor-Pantar,s,,,,,,
18,Proto-Timor-Alor-Pantar,h,,,,,,
18,Proto-Timor-Alor-Pantar,l,,,,,,
18,Proto-Timor-Alor-Pantar,r,,,,,,
19,Proto-North Halmahera,p,,,,,,
19,Proto-North Halmahera,t,,,,,,
19,Proto-North Halmahera,k,,,,,,
19,Proto-North Halmahera,b,,,,,,
19,Proto-North Halmahera,d,,,,,,
19,Proto-North Halmahera,ɡ,,,,,,
19,Proto-North Halmahera,ɖ,,,,,,
19,Proto-North Halmahera,m,,,,,,
19,Proto-North Halmahera,n,,,,,,
19,Proto-North Halmahera,s,,,,,,
19,Proto-North Halmahera,h,,,,,,
19,Proto-North Halmahera,ŋ,,,,,,
19,Proto-North Halmahera,w,,,,,,
19,Proto-North Halmahera,l,,,,,,
19,Proto-North Halmahera,r,"described as retroflex, should check",,,,,
20,Proto-Trans-New Guinea,p,,,,,,
20,Proto-Trans-New Guinea,t,,,,,,
20,Proto-Trans-New Guinea,k,,,,,,
20,Proto-Trans-New Guinea,mb,prenasalized stop,,,,,
20,Proto-Trans-New Guinea,nd,prenasalized stop,,,,,
20,Proto-Trans-New Guinea,ŋɡ,prenasalized stop,,,ŋɡ,,
20,Proto-Trans-New Guinea,m,,,,,,
20,Proto-Trans-New Guinea,n,,,,,,
20,Proto-Trans-New Guinea,ŋ,,,,,,
20,Proto-Trans-New Guinea,s,,,,,,
20,Proto-Trans-New Guinea,w,,,,,,
20,Proto-Trans-New Guinea,j,(listed as /y/),,,,,
20,Proto-Trans-New Guinea,l,,,,,,
21,Proto-Algonquian,p,,,,,,
21,Proto-Algonquian,t,,,,,,
21,Proto-Algonquian,k,,,,,,
21,Proto-Algonquian,s,,,,,,
21,Proto-Algonquian,h,,,,,,
21,Proto-Algonquian,t̠ʃ,,,,,,
21,Proto-Algonquian,ʃ,,,,,,
21,Proto-Algonquian,m,,,,,,
21,Proto-Algonquian,n,,,,,,
21,Proto-Algonquian,θ,,,,,,
21,Proto-Algonquian,l,,,,,,
21,Proto-Algonquian,w,,,,,,
21,Proto-Algonquian,j,(/y/ in the source),,,,,
21,Proto-Algonquian,i,,,,,,
21,Proto-Algonquian,o,,,,,,
21,Proto-Algonquian,e,,,,,,
21,Proto-Algonquian,a,,,,,,
21,Proto-Algonquian,iː,,,,,,
21,Proto-Algonquian,aː,,,,,,
21,Proto-Algonquian,oː,,,,,,
21,Proto-Algonquian,eː,,,,,,
22,Proto-Caddoan,a,,,,,,
22,Proto-Caddoan,i,,,,,,
22,Proto-Caddoan,u,,,,,,
