BdprotoID,LanguageName,Glottocode,Macro-Area,LanguageFamily,InventoryType,TimeDepthYBP,TimeDepth,Homeland,HomelandSource,MetadataNotes,BibtexKey,Contributor,Checked by
16,Proto-Alor-Pantar,alor1249,Papunesia,Alor-Pantor,C,3000,3000,Pantar Strait,,45,klamer2017alorpantar,Eitan Grossman,EG
17,Western Pantar,lamm1241,Papunesia,Alor-Pantor,C,,,,,,holtonrobinson2017westpantar,Eitan Grossman,EG
18,Proto-Timor-Alor-Pantar,timo1261,Papunesia,Timor-Alor-Pantar,C,,,,,,holtonrobinson2017timoralorpantar,Eitan Grossman,EG
19,Proto-North Halmahera,nort2923,Papunesia,North Halmahera,C,,,,,,holtonrobinson2017timoralorpantar,Eitan Grossman,EG
20,Proto-Trans-New Guinea,nucl1709,Papunesia,Nuclear Trans New Guinea,C,,,,,,"holtonrobinson2017timoralorpantar, pawley1995TNG, pawley2001TNG",Eitan Grossman,EG
21,Proto-Algonquian,algo1256,North America,Algic,CV,,,,,,goddard1974algonquian,Eitan Grossman,EG
22,Proto-Caddoan,cadd1255,North America,Caddoan,CV,,,,,,chafe1979caddoan,Eitan Grossman,EG
23,Proto-East Timor,east2520,Papunesia,Timor-Alor-Pantar,CV,,,,,,mandalaetal2011,Eitan Grossman,EG
24,Proto-Oirata-Fataluku,fata1246,Papunesia,Timor-Alor-Pantar,CV,,,,,,mandalaetal2011,Eitan Grossman,EG
25,Proto-Quechuan,quec1387,South America,Quechuan,CV,,,,,,cerron2003quechuan,Eitan Grossman,
26,Proto-Aymaran,ayma1253,South America,Aymaran,C,,,,,,cerron2000aymaran,Eitan Grossman,EG
27,Proto-Barbacoan,barb1265,South America,Barbacoan,CV,,,,,,curnowliddicoat1998barbacoan,Eitan Grossman,
28,Proto-Austroasiatic,aust1305,Papunesia,Austroasiatic,CV,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
29,Proto-Aslian,asli1243,Eurasia,Austroasiatic,CV,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
30,Proto-Saami,saam1281,Eurasia,Uralic,,,,,,,,Lilja Saeboe,
31,Proto-Celtic,celt1248,Eurasia,Indo-European,,,,Central Europe,,,,Júda Ronén,
32,Proto-Balto-Slavic,balt1263,Eurasia,Indo-European,,,,,,,,Layla Schwartz,
33,Proto-Indo-Iranian,indo1320,Eurasia,Indo-European,,,,,,,Kümmel2007. Mayrhofer1989. Kobayashi2004. Lipp2009,Yoav Yosef,
34,Proto-Slavic,slav1255,Eurasia,Indo-European,,,,,,,Hock2003a,Hanan Amouyal,
35,Proto-Italic,ital1284,Eurasia,Indo-European,,,,,,,Kümmel2007,Gali Katsir,
36,Proto-Baltic,balt1263,Eurasia,Indo-European,,,,,,,,,
37,Proto-Anatolian,anat1257,Eurasia,Indo-European,,,,,,,Kümmel2007. Melchert1994a,Yoav Yosef,
38,Proto-Tocharian,tokh1241,Eurasia,Indo-European,,,,,,,Kümmel2007. Adams1988. Ringe1996. Kim1999,Yoav Yosef,
39,Proto-Nuristani,nuri1243,Eurasia,Indo-European,,,,,,,Kümmel2007. Nelson1991,Yoav Yosef,
40,Proto-Iranian,iran1269,Eurasia,Indo-European,,,,,,,Kümmel2007. Mayrhofer1989. Lipp2009,Yoav Yosef,
41,Proto-Albanian,alba1267,Eurasia,Indo-European,,,,,,,Kümmel2007,Yoav Yosef,
42,Proto-Greek,gree1276,Eurasia,Indo-European,,,,,,,Kümmel2007. Bartoněk 1961,Yoav Yosef,
43,Proto-Germanic,germ1287,Eurasia,Indo-European,,,,,,,,Yoav Yosef,
44,Proto-Uralic,ural1272,Eurasia,Uralic,,,,,,,,Yoav Yosef,
45,Proto-Finno-Ugric,,Eurasia,Uralic,,,,,,,,,
