BdprotoID,LanguageName,Glottocode,Duplicate,Notes
1,Proto-Berber,berb1260,TRUE,Triplicate
2,Proto-Kartvelian,kart1248,TRUE,
3,Proto-Balto-Slavic,balt1263,TRUE,Triplicate
4,Proto-Slavic,slav1255,TRUE,Triplicate
5,Proto-Celtic,celt1248,TRUE,
6,Proto-Tai,daic1237,TRUE,"Is this Glottocode right? If so, we should update HUJI"
7,Proto-Turkic,turk1311,FALSE,
8,Proto-Mongolic,mong1329,FALSE,
9,Proto-Kra,kada1291,TRUE,
10,Proto-Hlai,nucl1241,FALSE,
11,Proto-Tibeto-Burman,NA,TRUE,"If this is correct, we should update HUJI as NA"
12,Proto-Austroasiatic,aust1305,TRUE,
13,Proto-Iroquoian,iroq1247,TRUE,
14,Proto-Dené–Caucasian,NA,FALSE,
15,Indo-European,indo1319,TRUE,
16,Proto-Alor-Pantar,alor1249,FALSE,
17,Western Pantar,lamm1241,FALSE,
18,Proto-Timor-Alor-Pantar,timo1261,FALSE,
19,Proto-North Halmahera,nort2923,FALSE,
20,Proto-Trans-New Guinea,nucl1709,FALSE,
21,Proto-Algonquian,algo1256,TRUE,
22,Proto-Caddoan,cadd1255,FALSE,
23,Proto-East Timor,east2520,FALSE,
24,Proto-Oirata-Fataluku,fata1246,FALSE,
25,Proto-Quechuan,quec1387,FALSE,
26,Proto-Aymaran,ayma1253,FALSE,
27,Proto-Barbacoan,barb1265,FALSE,
28,Proto-Austroasiatic,aust1305,TRUE,
29,Proto-Aslian,asli1243,FALSE,
30,Proto-Saami,saam1281,TRUE,
31,Proto-Celtic,celt1248,TRUE,
32,Proto-Balto-Slavic,balt1263,TRUE,Triplicate
33,Proto-Indo-Iranian,indo1320,FALSE,
34,Proto-Slavic,slav1255,TRUE,Triplicate
35,Proto-Italic,ital1284,FALSE,
36,Proto-Baltic,balt1263,TRUE,Triplicate
37,Proto-Anatolian,anat1257,TRUE,
38,Proto-Tocharian,tokh1241,FALSE,
39,Proto-Nuristani,nuri1243,FALSE,
40,Proto-Iranian,iran1269,FALSE,
41,Proto-Albanian,alba1267,FALSE,
42,Proto-Greek,gree1276,FALSE,
43,Proto-Germanic,germ1287,TRUE,
44,Proto-Uralic,ural1272,TRUE,
46,Proto-Ersuic,ersu1242,FALSE,
47,Proto-Kiranti,kira1253,FALSE,
48,Proto-Central Chadic,,FALSE,
49,Proto-Nilotic,nilo1247,FALSE,
50,Proto-Eastern Nilotic,east2418,FALSE,
51,Proto-Southern Nilotic,sout2830,FALSE,
52,Proto-Kuki-Chin,kuki1246,FALSE,
53,Proto-Eskimo,eski1265,TRUE,
54,Proto-Unangam Tunuu (Aleut),aleu1260,FALSE,
55,Proto-Tupi-Guarani,tupi1276,TRUE,
56,Proto-Maweti-Guarani,mawe1252,FALSE,
57,Proto-Jabuti,jabu1249,FALSE,
58,Proto-Je,nucl1710,FALSE,
59,Proto-Maiduan,maid1262,TRUE,
60,Proto-Mamore-Guapore,,FALSE,
61,Proto-Taranoan,tara1324,FALSE,
62,Proto-Totonacan,toto1251,TRUE,
63,Proto-Mixe-Zoquean,mixe1284,TRUE,
64,Proto-Totozoquean,,FALSE,
65,Proto-Tol (Jicaque),jica1245,FALSE,
66,Proto-Tukanoan,tuca1253,TRUE,
67,Proto-Tsimshian,tsim1258,FALSE,
68,Proto-Kra,kada1291,TRUE,
69,Proto-Tai,,TRUE,
70,Proto-Hlai,hlai1238,FALSE,
71,Proto-Berber,berb1260,TRUE,Triplicate
72,Proto-Skou,nucl1634,FALSE,
73,Common Slavic,slav1255,TRUE,Triplicate
74,Proto-Iroquoian,iroq1247,TRUE,
75,Common Cherokee,cher1273,FALSE,
76,Proto-Northern Iroquoian,nort2947,FALSE,
77,Proto-Tuscarora-Nottoway,tusc1256,FALSE,
78,Common Tuscarora,tusc1257,FALSE,
79,Proto-Mohawk-Oneida,moha1257,FALSE,
80,Common Mohawk,moha1258,FALSE,
82,Proto-Finno-Saamic,,FALSE,Is this right?
83,Proto-Siouan,siou1252,FALSE,
84,Proto-Finno-Permic,,FALSE,Is this right?
85,Proto-Tanoan,,FALSE,
86,Proto-Pama-Nyungan,pama1250,FALSE,
87,Proto-Baltic-Finnic,,FALSE,Is this right?
90,Proto-Waikuruan (Guaicuruan),guai1249,FALSE,
91,Proto-Salishan,sali1255,TRUE,
92,Proto-Khoe,khoe1241,TRUE,
94,Proto-Permic,perm1256,FALSE,
95,Proto-Paman,pama1251,TRUE,
96,Proto-Ugric,NA,FALSE,
97,Proto-Ob-ugrian,NA,FALSE,
98,Proto-Khanty,khan1279,FALSE,
99,Proto-Mansi,mans1269,FALSE,
100,Proto-Samoyedic,samo1298,TRUE,
101,Proto-Semitic,semi1276,TRUE,
102,Proto-Eskimo-Aleut,eski1264,TRUE,
103,Proto-Athabaskan,atha1247,TRUE,
104,Proto-Chimakuan,chim1311,TRUE,
105,Proto-Takelman,take1257,FALSE,
110,Proto-Wintun,wint1259,FALSE,
111,Proto-Miwokan,miwo1275,FALSE,
112,Proto-Costanoan,cost1250,FALSE,
113,Proto-Miwok-Costanoan,miwo1274,FALSE,
114,Proto-Yokutsan,yoku1255,TRUE,
115,Proto-Uto-Aztecan,utoa1244,TRUE,
116,Proto-Keresan,kere1287,TRUE,
117,Proto-Kiowa-Tanoan,kiow1266,FALSE,
118,Proto-Muskogean,musk1252,FALSE,
121,Proto-Huave,huav1256,FALSE,
122,Proto-Mayan,maya1287,TRUE,
135,Proto-Tibeto-Burman,,TRUE,
136,Proto-Southern-Cushitic,sout1354,FALSE,
137,Proto-Nicobar,nico1262,FALSE,
145,Proto-Pearic,pear1246,FALSE,
146,Proto-Vietic,viet1250,FALSE,
