Phoneme,is.consonantal,is.not.consonantal,type
-,NA,NA,NA
a,FALSE,TRUE,V
ä,NA,NA,V
ã,NA,NA,V
ã,FALSE,TRUE,V
ã̘,NA,NA,V
a̟,FALSE,TRUE,V
a̘,NA,NA,V
a̤,FALSE,TRUE,V
ḁ,FALSE,TRUE,V
ḁ,NA,NA,V
a̰,FALSE,TRUE,V
aː,FALSE,TRUE,V
ãː,NA,NA,V
ãː,FALSE,TRUE,V
a̟ː,FALSE,TRUE,V
a̰ː,FALSE,TRUE,V
aːi,NA,NA,V
aːj,NA,NA,V
aːu,NA,NA,V
aːw,NA,NA,V
aˑ,FALSE,TRUE,V
ae,FALSE,TRUE,V
æ,FALSE,TRUE,V
æː,FALSE,TRUE,V
æ̃ː,FALSE,TRUE,V
ai,FALSE,TRUE,V
aj,FALSE,FALSE,V
au,FALSE,TRUE,V
aɯ,FALSE,TRUE,V
aɰ,NA,NA,V
aw,FALSE,FALSE,V
ɐ,FALSE,TRUE,V
ɐː,FALSE,TRUE,V
ɑ,FALSE,TRUE,V
ɑ̃,FALSE,TRUE,V
ɑ:,NA,NA,V
ɑ:i,NA,NA,V
ɑ:u,NA,NA,V
ɑː,FALSE,TRUE,V
ɑ̃ː,FALSE,TRUE,V
ɑi,FALSE,TRUE,V
ɑu,FALSE,TRUE,V
ɑɯ,NA,NA,V
ɒ,FALSE,TRUE,V
ɒː,FALSE,TRUE,V
b,TRUE,FALSE,C
b̥,NA,NA,C
bː,TRUE,FALSE,C
bʰ,NA,NA,C
b̤ʰ,NA,NA,C
bʲ,TRUE,FALSE,C
bʷ,TRUE,FALSE,C
ɓ,TRUE,FALSE,C
c,TRUE,FALSE,C
ç,NA,NA,C
c̟,TRUE,FALSE,C
c͇,NA,NA,C
c’,NA,NA,C
cː,TRUE,FALSE,C
çː,NA,NA,C
cç,NA,NA,C
c͡ç,NA,NA,C
cçʰ,NA,NA,C
cçʼ,NA,NA,C
cɕ,TRUE,FALSE,C
cʰ,TRUE,FALSE,C
c̟ʰ,NA,NA,C
creak,NA,NA,NA
cˀ,NA,NA,C
cʼ,TRUE,FALSE,C
c̟ʼ,NA,NA,C
ɕ,TRUE,FALSE,C
ɕʲ,NA,NA,C
ɕʲː,NA,NA,C
d,TRUE,FALSE,C
d̪,TRUE,FALSE,C
ḍ,NA,NA,C
d̥,NA,NA,C
ð,TRUE,FALSE,C
ð’,NA,NA,C
dː,TRUE,FALSE,C
d̪ː,TRUE,FALSE,C
ðː,TRUE,FALSE,C
d̪ð̪,NA,NA,C
dʰ,NA,NA,C
d̤ʰ,NA,NA,C
dʲ,TRUE,FALSE,C
d̠ʲ,NA,NA,C
ðʲ,TRUE,FALSE,C
ð̪ʲ,NA,NA,C
dʝ,NA,NA,C
dɮ,TRUE,FALSE,C
d͡ɮ,NA,NA,C
dr,TRUE,FALSE,C
dy,NA,NA,C
dz,TRUE,FALSE,C
ʣ,NA,NA,C
dz̪,TRUE,FALSE,C
d͡z,NA,NA,C
ʣː,NA,NA,C
dzʲ,TRUE,FALSE,C
d͡zʲ,NA,NA,C
dʐ,NA,NA,C
d͡ʐ,NA,NA,C
dʑ,TRUE,FALSE,C
ʤ,NA,NA,C
d̠ʒ,TRUE,FALSE,C
d͡ʒ,NA,NA,C
d̠ʒʷ,TRUE,FALSE,C
dʓ,NA,NA,C
dʓʱ,NA,NA,C
dʼ,TRUE,FALSE,C
ð̪ʼ,NA,NA,C
dˤ,TRUE,FALSE,C
d̪ˤ,TRUE,FALSE,C
d̪ˤː,NA,NA,C
ðˁ,NA,NA,C
ðˁː,NA,NA,C
ɖ,TRUE,FALSE,C
ɖʐ,TRUE,FALSE,C
ɗ,TRUE,FALSE,C
e,FALSE,TRUE,V
ĕ,FALSE,TRUE,V
ẽ,FALSE,TRUE,V
ẽ,NA,NA,V
e̘,FALSE,TRUE,V
e̤,FALSE,TRUE,V
e̥,FALSE,TRUE,V
eː,FALSE,TRUE,V
ẽː,NA,NA,V
ẽː,FALSE,TRUE,V
eˑ,FALSE,TRUE,V
ea,FALSE,TRUE,V
ei,FALSE,TRUE,V
ej,FALSE,FALSE,V
eu,FALSE,TRUE,V
ew,NA,NA,V
ǝ,NA,NA,V
ə,FALSE,TRUE,V
ə̃,FALSE,TRUE,V
ə̄,NA,NA,V
ə̘,NA,NA,V
